freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2730033444.81605339	2793.05600000	2791.74200000	2781.23200000	2776.36800000	2748.03800000	2746.18000000	2726.17200000	2726.69000000	2760.35000000	2754.21600000	2740.01200000	2737.54800000	2756.04200000	2753.23400000	2744.92800000	2743.52600000	2755.28400000	2751.66600000	2717.08200000	2709.92600000	2752.21960000	2749.10960000
2731036789.29765892	2795.81800000	2796.71400000	2775.65800000	2777.96200000	2755.12600000	2751.10200000	2730.79000000	2726.59800000	2761.71600000	2761.83400000	2736.73400000	2735.05400000	2744.45600000	2743.69200000	2741.41800000	2731.85400000	2754.75000000	2752.09200000	2715.56000000	2713.82000000	2751.20260000	2749.07220000
2732040133.77926445	2803.77200000	2801.53800000	2744.71200000	2747.94000000	2749.36400000	2746.78400000	2749.76400000	2752.50200000	2717.43000000	2718.49200000	2733.41000000	2732.44600000	2736.29200000	2733.55200000	2773.22400000	2774.72800000	2738.83200000	2738.65200000	2719.56200000	2714.57400000	2746.63620000	2746.12080000
2733043478.26086950	2804.54000000	2797.36800000	2778.59400000	2776.22600000	2727.26200000	2725.94800000	2720.56600000	2715.56400000	2782.95200000	2781.83200000	2729.03000000	2729.11600000	2735.65000000	2739.58800000	2736.88200000	2728.12800000	2754.67000000	2755.35000000	2713.40400000	2711.58200000	2748.35500000	2746.07020000
2734046822.74247503	2812.91400000	2807.15400000	2741.16800000	2741.39800000	2734.38400000	2733.77600000	2755.46600000	2753.91600000	2739.16800000	2738.78200000	2809.32200000	2810.13800000	2720.66200000	2718.88200000	2735.12400000	2730.42400000	2722.50200000	2728.18400000	2701.06800000	2706.05000000	2747.17780000	2746.87040000
2735050167.22408009	2794.50000000	2793.81400000	2788.36800000	2791.19800000	2753.30000000	2750.94800000	2731.12800000	2729.95600000	2747.87200000	2743.67600000	2738.00400000	2736.15600000	2750.43800000	2747.10800000	2752.70200000	2747.23800000	2748.66800000	2749.11800000	2713.42200000	2709.41200000	2751.84020000	2749.86240000
2736053511.70568562	2816.39200000	2809.84200000	2728.27800000	2726.68000000	2731.98200000	2734.08600000	2728.81200000	2725.40600000	2775.09600000	2775.30000000	2755.49600000	2755.90400000	2742.36600000	2744.64400000	2734.94000000	2728.72600000	2719.32800000	2720.26200000	2702.50400000	2698.14200000	2743.51940000	2741.89920000
2737056856.18729115	2824.21000000	2820.32200000	2752.30400000	2750.60800000	2738.20600000	2737.97600000	2750.40600000	2756.93400000	2750.88800000	2747.37800000	2805.89600000	2803.33800000	2727.91000000	2723.78600000	2733.38800000	2733.97400000	2718.66600000	2716.29200000	2706.01600000	2701.65600000	2750.78900000	2749.22640000
2738060200.66889620	2833.41000000	2833.53400000	2795.49800000	2792.03600000	2750.07200000	2751.32400000	2722.39400000	2723.77000000	2731.03200000	2730.75000000	2767.91200000	2764.18600000	2733.71000000	2732.48800000	2758.43400000	2758.40000000	2731.35000000	2726.34400000	2715.81800000	2708.63800000	2753.96300000	2752.14700000
2739063545.15050173	2789.74200000	2785.69400000	2776.94200000	2780.89400000	2750.11600000	2749.20200000	2727.20200000	2725.78200000	2754.07600000	2753.57200000	2733.54600000	2733.49200000	2752.92600000	2750.33200000	2745.73000000	2743.90000000	2751.16600000	2752.86600000	2718.45200000	2718.35800000	2749.98980000	2749.40920000
