freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2730033444.81605339	2637.41800000	2630.77400000	2602.44600000	2601.43200000	2585.52400000	2578.73000000	2617.51200000	2613.58000000	2603.59600000	2603.07200000	2582.71400000	2581.57800000	2624.06600000	2620.63600000	2652.95400000	2648.89400000	2595.82800000	2593.26200000	2577.55400000	2578.15200000	2607.96120000	2605.01100000
2731036789.29765892	2629.06200000	2622.97600000	2623.57400000	2622.53600000	2594.91600000	2593.60600000	2643.19200000	2641.22200000	2596.03600000	2595.18400000	2582.90600000	2581.76200000	2618.37600000	2618.89200000	2649.48000000	2650.04600000	2581.08600000	2581.02800000	2564.61800000	2563.40000000	2608.32460000	2607.06520000
2732040133.77926445	2629.65000000	2626.35000000	2602.85200000	2599.25800000	2603.06200000	2596.94600000	2608.66000000	2604.53800000	2606.74800000	2602.74600000	2588.72400000	2585.96200000	2611.15600000	2606.40600000	2635.70600000	2636.01600000	2596.67800000	2597.03400000	2580.57600000	2579.24800000	2606.38120000	2603.45040000
2733043478.26086950	2651.72800000	2649.65200000	2607.91600000	2603.41200000	2628.01200000	2621.77600000	2600.12400000	2598.88400000	2598.41000000	2603.08000000	2591.09000000	2591.31400000	2587.67600000	2588.81800000	2598.26800000	2594.91000000	2598.66400000	2593.46400000	2581.60800000	2577.29000000	2604.34960000	2602.26000000
2734046822.74247503	2632.67200000	2628.22400000	2640.21400000	2637.11800000	2596.05800000	2592.10200000	2642.06600000	2639.61400000	2589.30400000	2590.20200000	2576.92600000	2575.98200000	2599.12400000	2596.85000000	2642.91600000	2639.58400000	2601.46200000	2600.41400000	2555.44000000	2553.06200000	2607.61820000	2605.31520000
2735050167.22408009	2631.81400000	2631.09600000	2636.55200000	2634.38600000	2613.11200000	2619.17600000	2640.86800000	2641.67000000	2601.10600000	2597.21000000	2612.57800000	2611.45600000	2591.43000000	2591.00800000	2636.18400000	2633.88400000	2617.55800000	2617.85600000	2565.52600000	2562.47000000	2614.67280000	2614.02120000
2736053511.70568562	2604.75400000	2608.18800000	2595.06200000	2594.32200000	2612.85000000	2610.18400000	2609.21400000	2609.46600000	2639.47400000	2637.63400000	2566.30400000	2565.80200000	2625.13400000	2621.00200000	2623.51600000	2619.54800000	2576.55000000	2575.60400000	2548.53000000	2556.01600000	2600.13880000	2599.77660000
2737056856.18729115	2652.28800000	2651.55400000	2604.39600000	2601.34200000	2604.43000000	2598.15800000	2604.26400000	2606.49800000	2598.67000000	2594.79600000	2588.62600000	2588.62800000	2609.13400000	2605.24400000	2611.95200000	2612.17000000	2593.11000000	2593.21800000	2579.70000000	2577.51600000	2604.65700000	2602.91240000
2738060200.66889620	2611.38400000	2609.17200000	2592.07600000	2590.83000000	2608.30600000	2609.01400000	2628.42400000	2623.33200000	2594.74400000	2596.51200000	2579.25000000	2578.37600000	2601.54800000	2593.99400000	2592.53400000	2591.00200000	2575.45400000	2574.77000000	2574.58000000	2572.86200000	2595.83000000	2593.98640000
2739063545.15050173	2624.05400000	2627.62000000	2599.51200000	2598.49400000	2603.95000000	2605.92800000	2623.91400000	2629.50000000	2594.21600000	2588.20800000	2579.90200000	2575.18600000	2607.76800000	2604.76000000	2617.28200000	2616.91600000	2610.82000000	2607.05800000	2588.87000000	2585.30200000	2605.02880000	2603.89720000
2740066889.63210726	2573.50400000	2570.33400000	2630.38400000	2629.76600000	2601.69800000	2601.09600000	2646.70600000	2640.76000000	2635.86200000	2642.02800000	2577.47600000	2572.60000000	2595.12000000	2588.80800000	2571.63600000	2571.24200000	2603.43000000	2600.04800000	2572.16200000	2572.38000000	2600.79780000	2598.90620000
2741070234.11371231	2617.53600000	2622.63200000	2603.31400000	2600.84800000	2593.78600000	2592.69600000	2601.87600000	2599.65800000	2602.30200000	2598.38600000	2575.10800000	2571.66600000	2612.30200000	2609.75000000	2616.65800000	2611.67800000	2599.30400000	2593.63800000	2583.74400000	2584.43000000	2600.59300000	2598.53820000
2742073578.59531784	2646.71200000	2647.69200000	2598.84200000	2596.89200000	2596.28600000	2595.62000000	2600.61400000	2592.46000000	2594.19400000	2590.16000000	2589.95400000	2585.22400000	2599.74600000	2596.32800000	2595.56000000	2593.70000000	2585.62400000	2579.63600000	2574.91200000	2574.49600000	2598.24440000	2595.22080000
2743076923.07692289	2627.26400000	2626.54200000	2605.14200000	2600.33600000	2609.56800000	2603.32600000	2624.38600000	2627.72400000	2593.85200000	2591.41000000	2580.39000000	2584.44000000	2607.33800000	2608.68600000	2615.98400000	2616.29200000	2608.98400000	2608.68800000	2589.64200000	2588.09000000	2606.25500000	2605.55340000
2744080267.55852842	2632.13800000	2630.08200000	2601.88600000	2595.79600000	2598.13400000	2600.43000000	2619.46200000	2619.24400000	2596.74400000	2592.63000000	2577.19000000	2577.67000000	2593.31200000	2592.60400000	2623.19800000	2618.14600000	2599.13400000	2592.97200000	2582.96800000	2585.99000000	2602.41660000	2600.55640000
2745083612.04013395	2634.54600000	2627.67200000	2605.37200000	2602.74400000	2601.48400000	2600.80400000	2605.46800000	2604.36200000	2599.69600000	2603.66200000	2583.82800000	2584.12200000	2608.66600000	2606.60000000	2628.35400000	2634.77800000	2604.63800000	2602.80800000	2577.77400000	2575.80200000	2604.98260000	2604.33540000
2746086956.52173901	2623.50800000	2626.18000000	2599.04200000	2598.58600000	2590.98400000	2592.49400000	2615.66800000	2614.47000000	2608.94000000	2605.91200000	2591.19600000	2585.92800000	2636.55400000	2637.38800000	2650.98600000	2648.66000000	2576.39200000	2576.53800000	2585.39800000	2585.84200000	2607.86680000	2607.19980000
2747090301.00334454	2628.12200000	2627.96400000	2597.17000000	2600.82800000	2610.50400000	2605.17800000	2613.36200000	2611.22600000	2592.66400000	2589.75200000	2576.44200000	2573.90600000	2587.61400000	2592.95600000	2602.25200000	2595.62200000	2583.84400000	2584.27200000	2567.83000000	2567.41000000	2595.98040000	2594.91140000
2748093645.48495007	2574.24200000	2570.96200000	2629.18600000	2619.53000000	2607.58200000	2602.28400000	2645.65400000	2646.00000000	2640.55800000	2640.25200000	2584.48400000	2580.94800000	2598.00000000	2598.97600000	2567.79400000	2564.98600000	2599.00000000	2594.12200000	2589.76200000	2588.70000000	2603.62620000	2600.67600000
2749096989.96655512	2626.39200000	2623.34400000	2608.37400000	2604.17200000	2576.46200000	2575.63200000	2590.97800000	2592.63000000	2594.65600000	2588.74800000	2579.81400000	2579.64200000	2611.49400000	2612.83800000	2606.81000000	2608.59200000	2566.57600000	2564.95800000	2567.93400000	2569.18600000	2592.94900000	2591.97420000
2750100334.44816065	2611.29600000	2610.24600000	2611.88000000	2610.09400000	2614.61000000	2613.12600000	2610.80000000	2604.84000000	2599.47800000	2598.26000000	2584.67200000	2582.75600000	2639.92000000	2638.94200000	2625.67600000	2619.70200000	2592.19800000	2593.51000000	2580.08000000	2579.26400000	2607.06100000	2605.07400000
2751103678.92976570	2599.13800000	2594.61000000	2597.85200000	2593.16000000	2603.01200000	2599.61800000	2608.07600000	2607.65000000	2649.69400000	2645.31600000	2570.19200000	2565.88800000	2620.62000000	2616.39000000	2617.37000000	2618.84200000	2573.78600000	2573.85000000	2556.20000000	2558.95800000	2599.59400000	2597.42820000
2752107023.41137123	2630.71600000	2633.47800000	2628.97200000	2623.01200000	2593.01800000	2594.77400000	2642.20400000	2639.39200000	2596.25200000	2596.02200000	2581.71800000	2578.24800000	2612.69000000	2610.95200000	2639.62800000	2640.78200000	2596.26400000	2586.81400000	2557.44800000	2553.56400000	2607.89100000	2605.70380000
2753110367.89297676	2621.34800000	2618.75600000	2606.55200000	2606.59600000	2599.46800000	2600.19600000	2629.73200000	2630.81000000	2592.51600000	2590.83200000	2592.35800000	2588.19000000	2618.92800000	2617.97600000	2660.45800000	2660.96600000	2574.29800000	2576.61600000	2565.76200000	2567.84000000	2606.14200000	2605.87780000
2754113712.37458181	2575.92800000	2570.09400000	2626.62600000	2625.50400000	2604.84400000	2606.31800000	2645.04800000	2642.18400000	2640.70400000	2638.71400000	2577.64200000	2580.45600000	2599.66800000	2602.98400000	2564.04000000	2556.73000000	2594.77800000	2593.65000000	2585.96600000	2581.14600000	2601.52440000	2599.77800000
2755117056.85618734	2564.02000000	2564.43600000	2631.41800000	2627.79600000	2607.93400000	2606.66600000	2644.78400000	2646.47400000	2643.70400000	2641.12200000	2580.78800000	2579.80800000	2588.55200000	2586.12400000	2575.41800000	2577.08600000	2601.40800000	2603.25400000	2560.12800000	2561.13400000	2599.81540000	2599.39000000
2756120401.33779287	2623.85000000	2626.26000000	2633.40000000	2630.16600000	2621.04400000	2619.37400000	2645.18800000	2640.80200000	2596.17000000	2599.15000000	2611.49800000	2605.62400000	2592.07200000	2592.34200000	2641.86400000	2642.97600000	2615.76600000	2610.40200000	2564.23600000	2563.81600000	2614.50880000	2613.09120000
2757123745.81939793	2575.63200000	2575.74600000	2632.74800000	2628.82600000	2607.98600000	2602.20000000	2651.54400000	2645.52600000	2642.19800000	2644.22800000	2578.61400000	2577.63000000	2598.56600000	2598.50000000	2573.31400000	2569.67000000	2600.25400000	2597.35000000	2578.39400000	2579.27000000	2603.92500000	2601.89460000
2758127090.30100346	2617.30600000	2613.32000000	2590.75400000	2590.19600000	2592.01400000	2591.93000000	2617.49600000	2614.64200000	2588.63800000	2589.54400000	2584.24400000	2590.72400000	2606.90600000	2604.60200000	2593.75800000	2593.72200000	2566.59000000	2566.54000000	2568.06400000	2571.03400000	2592.57700000	2592.62540000
2759130434.78260851	2626.63400000	2621.46400000	2599.03200000	2600.16000000	2591.98600000	2588.10000000	2610.60400000	2609.65200000	2594.32800000	2593.07400000	2592.65000000	2587.74600000	2624.47800000	2624.23800000	2657.02000000	2647.94800000	2573.31800000	2567.48400000	2578.73800000	2577.59400000	2604.87880000	2601.74600000
2760133779.26421404	2624.01400000	2624.71000000	2602.38600000	2597.52400000	2606.01600000	2596.93000000	2604.48800000	2602.41800000	2601.49600000	2595.65000000	2571.26400000	2565.64600000	2618.46000000	2620.04200000	2610.36400000	2605.44000000	2596.68400000	2593.91200000	2585.64000000	2587.13400000	2602.08120000	2598.94060000
