freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2720000000.00000000	3142.23200000	3143.45600000	3265.05400000	3254.53400000	3328.19400000	3329.28800000	3174.97600000	3176.82000000	3294.39800000	3287.97600000	3170.52600000	3171.57000000	3132.51800000	3132.41000000	3142.45400000	3139.69000000	3123.02400000	3121.53600000	3200.10000000	3197.18800000	3197.34760000	3195.44680000
2721003344.48160553	3188.81000000	3182.92000000	3280.31400000	3278.14800000	3280.37600000	3280.55600000	3215.53400000	3206.95400000	3273.13600000	3268.11400000	3190.94600000	3182.76600000	3126.79800000	3126.42000000	3142.70200000	3135.57400000	3144.79000000	3144.30800000	3157.47200000	3153.23200000	3200.08780000	3195.89920000
2722006688.96321058	3251.20600000	3250.12800000	3213.30600000	3212.40200000	3277.66000000	3272.76200000	3208.34600000	3206.97800000	3209.44600000	3205.97600000	3248.10800000	3243.33600000	3173.84600000	3164.37200000	3129.84400000	3127.07800000	3287.54200000	3280.42600000	3169.79200000	3168.57200000	3216.90960000	3213.20300000
2723010033.44481611	3324.82200000	3319.50600000	3315.54800000	3310.81800000	3246.55400000	3250.19800000	3257.44800000	3258.20800000	3176.96400000	3179.30200000	3230.55200000	3225.24400000	3160.00600000	3156.38600000	3131.21200000	3126.36200000	3135.16000000	3131.09600000	3235.87200000	3234.34200000	3221.41380000	3219.14620000
2724013377.92642164	3222.29000000	3220.16000000	3186.49400000	3184.27400000	3295.37600000	3291.60000000	3185.67000000	3184.70400000	3174.16600000	3174.93000000	3264.30400000	3259.38000000	3186.86000000	3184.24400000	3174.87600000	3177.04600000	3267.54800000	3260.19800000	3215.55800000	3215.69600000	3217.31420000	3215.22320000
2725016722.40802670	3204.18600000	3204.07800000	3261.79000000	3259.37600000	3267.48800000	3262.35800000	3228.54200000	3226.51200000	3265.85000000	3265.00000000	3168.82000000	3171.30200000	3096.63000000	3097.30600000	3157.37800000	3157.48200000	3139.13000000	3131.73800000	3138.19800000	3132.80400000	3192.80120000	3190.79560000
2726020066.88963223	3147.07600000	3144.77400000	3295.04400000	3295.48400000	3318.04600000	3319.88800000	3175.51800000	3172.20000000	3253.65800000	3255.22400000	3156.48000000	3155.79400000	3093.97400000	3091.62000000	3183.23600000	3181.00200000	3161.61800000	3155.34200000	3194.44000000	3192.57000000	3197.90900000	3196.38980000
2727023411.37123728	3208.82400000	3206.04000000	3227.80200000	3227.34200000	3277.23000000	3274.39200000	3237.31000000	3234.00600000	3207.13000000	3205.36800000	3130.52200000	3132.10000000	3153.09800000	3152.79400000	3125.83800000	3129.29000000	3218.02400000	3212.18200000	3232.21000000	3227.84600000	3201.79880000	3200.13600000
2728026755.85284281	3328.00000000	3321.17400000	3312.34800000	3306.76000000	3246.43600000	3249.86200000	3250.14000000	3249.13600000	3170.63000000	3171.29200000	3236.76000000	3238.70000000	3171.00600000	3166.55400000	3137.81400000	3137.55600000	3123.00200000	3126.85400000	3254.51000000	3252.15200000	3223.06460000	3222.00400000
2729030100.33444834	3262.13200000	3264.44000000	3185.14000000	3179.15000000	3290.15800000	3289.67000000	3204.94000000	3203.77400000	3208.02600000	3205.87200000	3247.79200000	3245.25200000	3184.33000000	3187.96800000	3161.42600000	3164.22800000	3271.11200000	3269.09000000	3164.32200000	3160.69200000	3217.93780000	3217.01360000
2730033444.81605339	3329.75400000	3330.48400000	3311.23000000	3310.05200000	3249.60600000	3244.95800000	3250.46400000	3248.27800000	3179.66200000	3173.10000000	3237.86200000	3238.23600000	3183.74200000	3179.03400000	3146.35400000	3141.97600000	3129.67000000	3129.29800000	3256.44600000	3253.02400000	3227.47900000	3224.84400000
2731036789.29765892	3189.41000000	3188.92000000	3193.75800000	3191.90800000	3288.44600000	3280.50800000	3201.16800000	3204.59000000	3181.85200000	3177.01000000	3253.68600000	3251.91400000	3222.35600000	3223.79400000	3190.30200000	3185.85600000	3257.40400000	3256.20200000	3259.53600000	3255.79200000	3223.79180000	3221.64940000
2732040133.77926445	3217.03000000	3215.72200000	3270.39600000	3271.06200000	3322.44200000	3320.51800000	3224.24600000	3225.84400000	3281.95400000	3274.99200000	3179.62200000	3181.20400000	3202.76000000	3194.12800000	3133.09200000	3129.03000000	3189.72000000	3188.69400000	3186.68800000	3182.75400000	3220.79500000	3218.39480000
2733043478.26086950	3298.15600000	3295.32200000	3237.74800000	3231.35400000	3275.58600000	3272.63400000	3212.90400000	3213.08400000	3252.02400000	3245.41200000	3211.65400000	3211.80000000	3163.24400000	3161.30000000	3123.86400000	3119.35000000	3251.50800000	3250.56600000	3178.64400000	3174.02000000	3220.53320000	3217.48420000
2734046822.74247503	3151.21800000	3150.97000000	3297.77200000	3285.16400000	3306.34200000	3300.60800000	3167.25600000	3169.22000000	3261.52800000	3260.68800000	3177.28000000	3169.73200000	3089.14800000	3084.39200000	3196.39000000	3193.26200000	3145.25400000	3144.31800000	3201.94600000	3198.95400000	3199.41340000	3195.73080000
2735050167.22408009	3199.47000000	3200.05000000	3309.24400000	3301.53400000	3318.43000000	3311.05200000	3176.61400000	3173.27200000	3211.92200000	3215.26800000	3110.74400000	3106.04000000	3103.43800000	3105.16200000	3123.92400000	3122.56200000	3260.40400000	3248.74200000	3225.26200000	3227.73400000	3203.94520000	3201.14160000
2736053511.70568562	3276.03000000	3278.87400000	3233.92800000	3232.44800000	3269.02400000	3268.68600000	3192.07600000	3190.48200000	3240.93400000	3238.39200000	3220.10400000	3215.83800000	3170.00000000	3166.73600000	3113.57400000	3112.46400000	3259.79200000	3255.22800000	3166.11600000	3160.94800000	3214.15780000	3212.00960000
2737056856.18729115	3187.92800000	3183.59800000	3291.30400000	3287.75200000	3289.11800000	3286.00200000	3177.12000000	3183.44400000	3198.40400000	3200.66200000	3068.16200000	3071.30400000	3104.21200000	3105.40800000	3114.05000000	3108.99000000	3247.36800000	3248.76400000	3221.80200000	3226.18200000	3189.94680000	3190.21060000
2738060200.66889620	3185.78200000	3182.94200000	3196.29000000	3193.63200000	3294.83800000	3288.47800000	3196.90400000	3194.04800000	3190.23000000	3188.20000000	3264.02200000	3258.45400000	3209.22200000	3212.07400000	3181.23200000	3178.12000000	3267.41800000	3269.27800000	3253.55400000	3254.56800000	3223.94920000	3221.97940000
2739063545.15050173	3236.96400000	3230.98200000	3187.15600000	3186.46800000	3301.82600000	3294.83800000	3192.80600000	3189.30400000	3177.55000000	3170.22600000	3261.24000000	3256.73400000	3181.35800000	3179.11600000	3176.23800000	3178.16400000	3275.83600000	3271.69200000	3202.11800000	3203.97400000	3219.30920000	3216.14980000
2740066889.63210726	3183.40400000	3188.18800000	3277.29000000	3273.83200000	3282.32400000	3281.37800000	3189.56800000	3185.31600000	3193.55000000	3193.92600000	3085.09000000	3081.86200000	3115.96200000	3113.41800000	3117.94800000	3115.41800000	3226.31000000	3223.29000000	3209.66200000	3206.19200000	3188.11080000	3186.28200000
