freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2744080267.55852842	2430.96800000	2429.26200000	2444.87800000	2443.97200000	2425.42800000	2423.07000000	2417.14200000	2415.56600000	2446.05400000	2448.43000000	2404.00200000	2398.10200000	2435.06200000	2433.30200000	2425.47600000	2422.58400000	2419.41400000	2423.02000000	2404.48200000	2402.87600000	2425.29060000	2424.01840000
2745083612.04013395	2422.54800000	2424.39400000	2432.80000000	2437.28400000	2423.42000000	2418.93200000	2417.27000000	2415.76400000	2410.74800000	2414.05200000	2418.87800000	2414.40600000	2435.25200000	2434.57200000	2432.87800000	2433.26800000	2430.12800000	2426.73200000	2415.47200000	2416.61600000	2423.93940000	2423.60200000
2746086956.52173901	2414.98400000	2418.56400000	2438.78800000	2441.29400000	2411.38600000	2407.80800000	2420.45400000	2415.24200000	2418.91000000	2416.71000000	2407.85000000	2407.14000000	2438.93600000	2440.59000000	2439.88400000	2436.85200000	2416.24800000	2415.84200000	2408.68200000	2406.19600000	2421.61220000	2420.62380000
2747090301.00334454	2439.43600000	2440.40400000	2434.07200000	2432.62400000	2436.24000000	2432.99000000	2426.50200000	2428.40200000	2423.92800000	2428.93800000	2445.96000000	2442.09200000	2430.26200000	2422.65800000	2414.15800000	2410.47800000	2426.94200000	2424.71600000	2436.22600000	2433.05200000	2431.37260000	2429.63540000
2748093645.48495007	2432.25800000	2429.41400000	2429.64600000	2422.75600000	2416.39000000	2418.55600000	2416.62000000	2417.79800000	2421.87200000	2419.07200000	2435.30400000	2439.83200000	2418.34600000	2415.95800000	2408.28400000	2407.33800000	2423.51600000	2419.31600000	2437.86200000	2434.13600000	2424.00980000	2422.41760000
2749096989.96655512	2447.42600000	2445.68200000	2442.69400000	2443.34600000	2419.28600000	2418.40800000	2408.88200000	2409.73400000	2437.82800000	2435.22400000	2415.50400000	2416.15600000	2408.99000000	2410.34600000	2427.91400000	2425.49600000	2419.67000000	2418.55400000	2413.08000000	2413.90400000	2424.12740000	2423.68500000
2750100334.44816065	2442.47000000	2440.07600000	2429.55600000	2429.17200000	2433.84200000	2430.82400000	2417.25600000	2416.08600000	2410.30600000	2408.53000000	2437.82000000	2436.76400000	2429.44600000	2426.21600000	2409.04400000	2407.68200000	2413.60000000	2416.38200000	2416.93400000	2417.52800000	2424.02740000	2422.92600000
2751103678.92976570	2442.32200000	2440.74400000	2438.08000000	2440.37400000	2449.58600000	2448.21200000	2430.18600000	2426.68800000	2425.92400000	2424.65400000	2446.89000000	2449.31800000	2431.02000000	2427.83800000	2413.87800000	2416.35400000	2426.90600000	2422.26400000	2432.74400000	2429.63600000	2433.75360000	2432.60820000
2752107023.41137123	2444.43400000	2439.24200000	2454.10600000	2445.86600000	2422.73200000	2422.69400000	2416.97000000	2414.51400000	2429.27600000	2424.75200000	2414.69800000	2414.64800000	2414.59400000	2416.98400000	2424.68600000	2427.25200000	2423.35000000	2425.45000000	2410.32200000	2406.33600000	2425.51680000	2423.77380000
2753110367.89297676	2418.80400000	2419.61000000	2435.17800000	2437.39800000	2423.46600000	2420.98600000	2417.41000000	2417.18000000	2422.32600000	2419.82400000	2415.29600000	2414.30200000	2448.37200000	2445.90000000	2438.58800000	2439.42600000	2422.64400000	2423.13400000	2413.29800000	2413.50000000	2425.53820000	2425.12600000
