freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2720000000.00000000	2576.20000000	2574.57400000	2575.76400000	2577.05800000	2565.99400000	2562.24600000	2574.33800000	2572.13600000	2549.17000000	2548.00000000	2559.22200000	2556.27000000	2559.96600000	2559.68800000	2538.89600000	2537.19400000	2590.29800000	2585.10000000	2570.66600000	2571.84000000	2566.05140000	2564.41060000
2721003344.48160553	2582.83000000	2582.83200000	2546.55800000	2538.50200000	2621.48000000	2617.34200000	2563.71000000	2562.14800000	2625.03000000	2622.86400000	2556.96600000	2557.39400000	2563.29600000	2562.05000000	2538.11000000	2540.56600000	2557.06600000	2552.95000000	2602.44400000	2605.69200000	2575.74900000	2574.23400000
2722006688.96321058	2567.02600000	2565.29000000	2563.01200000	2562.27600000	2565.31400000	2561.92000000	2556.16400000	2554.55600000	2556.90200000	2551.11600000	2534.25600000	2531.88800000	2555.66800000	2545.12600000	2569.01000000	2568.17200000	2609.32000000	2605.37800000	2554.06800000	2552.42200000	2563.07400000	2559.81440000
2723010033.44481611	2628.92200000	2632.68000000	2558.94000000	2554.80800000	2587.20000000	2585.49600000	2549.04800000	2545.80600000	2589.54600000	2588.55200000	2567.56400000	2567.79000000	2575.28000000	2571.85000000	2567.92400000	2564.05400000	2624.29200000	2619.12000000	2640.35800000	2637.10400000	2588.90740000	2586.72600000
2724013377.92642164	2577.29600000	2573.76000000	2573.70000000	2576.20600000	2585.37800000	2581.88200000	2596.73800000	2600.29800000	2578.07200000	2579.97400000	2569.98400000	2569.51800000	2620.88800000	2617.00800000	2594.38000000	2592.41200000	2554.87400000	2555.02600000	2585.45200000	2586.84600000	2583.67620000	2583.29300000
2725016722.40802670	2573.44200000	2567.80000000	2577.87800000	2581.46200000	2560.66600000	2560.41600000	2572.04800000	2564.56800000	2549.80800000	2547.91600000	2559.95200000	2557.59600000	2560.12600000	2559.60200000	2539.49200000	2536.23600000	2591.23600000	2594.53400000	2570.57600000	2565.68400000	2565.52240000	2563.58140000
2726020066.88963223	2637.58600000	2635.33400000	2559.88000000	2558.46400000	2574.68800000	2573.02800000	2564.33800000	2558.13000000	2583.00600000	2580.93600000	2568.37000000	2565.17000000	2585.13600000	2582.81800000	2570.71200000	2565.23600000	2631.00400000	2627.70000000	2633.87400000	2636.84800000	2590.85940000	2588.36640000
2727023411.37123728	2568.48400000	2567.00200000	2556.63800000	2555.54400000	2566.13400000	2568.12000000	2610.36200000	2611.25400000	2549.13000000	2551.13000000	2552.19200000	2546.65800000	2563.64200000	2562.69600000	2570.15400000	2572.45400000	2562.99200000	2558.37400000	2563.66200000	2559.37000000	2566.33900000	2565.26020000
2728026755.85284281	2561.30600000	2564.93800000	2570.96800000	2564.27600000	2568.98600000	2563.08000000	2560.05200000	2555.94600000	2551.69000000	2546.93800000	2541.91400000	2534.00800000	2550.87800000	2549.79600000	2571.76600000	2571.62600000	2606.35200000	2610.01400000	2556.60200000	2554.48400000	2564.05140000	2561.51060000
2729030100.33444834	2560.11400000	2557.41200000	2577.42000000	2569.17600000	2547.98600000	2542.07600000	2555.15400000	2548.26800000	2558.45000000	2560.63600000	2533.80000000	2536.44000000	2570.25600000	2572.37200000	2547.38000000	2544.58800000	2593.43400000	2596.44200000	2556.65000000	2554.81600000	2560.06440000	2558.22260000
2730033444.81605339	2606.00600000	2606.22800000	2529.52600000	2536.06000000	2642.25000000	2645.34800000	2567.88400000	2568.97400000	2607.09000000	2604.59800000	2593.06200000	2586.63400000	2549.35600000	2546.60800000	2562.16600000	2558.48400000	2560.18600000	2560.14200000	2587.53600000	2587.41800000	2580.50620000	2580.04940000
2731036789.29765892	2539.59200000	2533.13800000	2557.21200000	2561.34600000	2558.88600000	2557.21600000	2599.82000000	2599.69000000	2553.13600000	2553.80600000	2562.25800000	2558.49400000	2551.77000000	2551.06400000	2549.48600000	2549.21800000	2606.97600000	2600.22800000	2588.46000000	2581.41600000	2566.75960000	2564.56160000
2732040133.77926445	2535.51600000	2531.21200000	2551.34200000	2554.22000000	2555.42200000	2555.38600000	2605.14400000	2596.40000000	2546.16000000	2543.93200000	2551.07600000	2551.41600000	2549.50400000	2549.41600000	2550.15600000	2546.28800000	2606.07800000	2607.04600000	2580.69200000	2581.02000000	2563.10900000	2561.63360000
2733043478.26086950	2569.64200000	2563.20800000	2577.79000000	2575.54000000	2558.92000000	2557.89600000	2567.32200000	2565.82600000	2549.58600000	2546.86400000	2555.21600000	2552.75800000	2556.08000000	2555.27600000	2541.22200000	2539.07600000	2594.58000000	2589.42800000	2566.47200000	2568.43600000	2563.68300000	2561.43080000
2734046822.74247503	2570.28400000	2573.67600000	2582.50000000	2580.41800000	2588.98000000	2592.45200000	2609.89200000	2605.95600000	2586.24800000	2585.85000000	2568.66400000	2564.44800000	2608.24200000	2608.25600000	2590.37200000	2587.87200000	2562.73600000	2562.24400000	2589.22000000	2586.16000000	2585.71380000	2584.73320000
2735050167.22408009	2576.91000000	2579.94200000	2547.26400000	2542.83800000	2646.89200000	2648.09200000	2576.18000000	2572.42800000	2623.45200000	2625.98600000	2575.28400000	2574.47400000	2556.76800000	2560.95800000	2543.72600000	2546.88600000	2568.80400000	2572.05200000	2607.75000000	2606.23800000	2582.30300000	2582.98940000
2736053511.70568562	2605.04200000	2606.17600000	2554.54600000	2554.22600000	2608.40000000	2610.17000000	2571.38400000	2568.63800000	2587.49200000	2585.80600000	2593.07000000	2588.84200000	2557.95200000	2559.29400000	2569.76200000	2566.34800000	2588.43200000	2591.37200000	2590.91600000	2590.38600000	2582.69960000	2582.12580000
2737056856.18729115	2624.79400000	2626.90400000	2567.28400000	2561.77200000	2593.63000000	2592.39800000	2552.25600000	2551.28000000	2598.40200000	2597.80000000	2574.40200000	2572.61200000	2573.28200000	2572.89800000	2574.82600000	2567.82800000	2631.54400000	2629.59600000	2640.36200000	2639.72000000	2593.07820000	2591.28080000
2738060200.66889620	2577.22400000	2578.66000000	2556.22400000	2558.50800000	2565.28400000	2563.32000000	2587.74000000	2586.17000000	2554.32000000	2548.50600000	2541.52800000	2539.43400000	2559.16000000	2556.17000000	2545.05600000	2541.29600000	2566.71800000	2567.94800000	2574.34800000	2566.18400000	2562.76020000	2560.61960000
2739063545.15050173	2548.99800000	2548.89800000	2566.06600000	2562.02200000	2565.98400000	2562.51600000	2576.50800000	2579.00800000	2552.43400000	2548.45400000	2546.57600000	2542.01600000	2539.60400000	2543.32600000	2558.65200000	2553.88800000	2611.61600000	2609.27400000	2564.04400000	2567.55200000	2563.04820000	2561.69540000
