freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2720000000.00000000	3321.80200000	3319.02600000	3325.52000000	3325.88600000	3319.82200000	3323.23400000	3313.95800000	3309.43800000	3272.13400000	3265.71800000	3305.72400000	3305.70800000	3289.65600000	3290.79200000	3317.05600000	3304.32400000	3266.30800000	3263.46600000	3284.18800000	3276.77200000	3301.61680000	3298.43640000
2721003344.48160553	3284.01200000	3277.64200000	3308.66200000	3304.09400000	3302.17200000	3298.02200000	3323.29800000	3322.52400000	3319.40800000	3320.33600000	3314.34800000	3310.14800000	3318.20600000	3309.88800000	3294.73800000	3290.18400000	3314.02600000	3309.17400000	3286.05600000	3287.14400000	3306.49260000	3302.91560000
2722006688.96321058	3303.17600000	3300.80600000	3272.56800000	3272.56400000	3317.67000000	3320.22400000	3308.10400000	3303.08200000	3312.84000000	3308.13800000	3303.75600000	3300.08400000	3287.95800000	3285.79600000	3321.69400000	3317.10000000	3283.43800000	3278.08800000	3269.23800000	3264.21800000	3298.04420000	3295.01000000
2723010033.44481611	3323.82800000	3321.07200000	3305.13800000	3305.40000000	3308.37600000	3310.57000000	3315.97200000	3311.89800000	3310.48600000	3309.23800000	3300.93000000	3298.05400000	3291.66800000	3298.38600000	3285.31800000	3278.33800000	3292.14600000	3290.43800000	3298.87400000	3293.90800000	3303.27360000	3301.73020000
2724013377.92642164	3306.62800000	3305.93200000	3318.29000000	3316.23800000	3289.75400000	3287.77600000	3318.52000000	3318.65400000	3323.16200000	3328.42200000	3326.09200000	3323.78400000	3309.32400000	3301.19400000	3301.40400000	3297.17600000	3276.71600000	3274.13000000	3276.24200000	3268.24000000	3304.61320000	3302.15460000
2725016722.40802670	3327.39200000	3326.42200000	3323.58800000	3316.08200000	3314.48800000	3312.27600000	3305.46800000	3304.64000000	3283.16600000	3283.81800000	3317.03800000	3316.71200000	3293.54000000	3289.28600000	3304.34400000	3299.83400000	3258.69400000	3256.94000000	3287.81800000	3288.99400000	3301.55360000	3299.50040000
2726020066.88963223	3332.09400000	3325.28600000	3317.18600000	3317.23000000	3303.55400000	3301.21800000	3300.77400000	3297.92600000	3289.76600000	3284.88200000	3307.36000000	3304.88600000	3286.87600000	3290.13600000	3300.23800000	3298.67600000	3272.64800000	3275.33400000	3293.94600000	3293.15000000	3300.44420000	3298.87240000
2727023411.37123728	3317.42200000	3317.19200000	3302.31000000	3301.55400000	3311.60400000	3308.61800000	3311.03600000	3305.14600000	3313.45200000	3306.63800000	3311.72800000	3306.87600000	3298.25800000	3291.16400000	3279.85600000	3276.95000000	3288.95400000	3283.03000000	3301.23800000	3300.04000000	3303.58580000	3299.72080000
2728026755.85284281	3327.46600000	3326.87000000	3305.01400000	3302.46200000	3323.94800000	3320.16600000	3304.47800000	3300.90000000	3315.79000000	3317.58800000	3308.35000000	3305.51000000	3294.71200000	3291.38000000	3295.39600000	3295.66600000	3286.42200000	3284.35000000	3293.74000000	3295.22200000	3305.53160000	3304.01140000
2729030100.33444834	3277.12800000	3274.57000000	3311.67200000	3307.69400000	3308.77800000	3301.87400000	3317.77200000	3316.28400000	3318.55000000	3318.04800000	3308.74800000	3304.18000000	3309.58000000	3311.95200000	3290.18000000	3286.52600000	3305.94200000	3303.58400000	3297.56000000	3292.27800000	3304.59100000	3301.69900000
2730033444.81605339	3299.82200000	3299.14600000	3315.90600000	3314.43000000	3320.16200000	3312.43000000	3309.05200000	3303.13800000	3289.59800000	3288.23800000	3292.10600000	3289.70200000	3298.01400000	3293.45600000	3303.37200000	3301.10400000	3280.43600000	3282.91600000	3279.37000000	3275.32000000	3298.78380000	3295.98800000
