freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2720000000.00000000	2698.19800000	2699.01800000	2686.83200000	2682.00200000	2682.83400000	2677.65600000	2672.49200000	2672.22600000	2669.11400000	2666.84800000	2666.18200000	2662.25000000	2663.50400000	2663.20600000	2639.72400000	2644.54000000	2697.77400000	2696.40600000	2659.91200000	2658.48800000	2673.65660000	2672.26400000
2721003344.48160553	2686.57200000	2683.57800000	2662.98800000	2661.70600000	2675.53600000	2673.68200000	2683.23000000	2681.89600000	2677.29000000	2673.71800000	2668.25600000	2668.09400000	2712.46000000	2713.88800000	2634.30600000	2629.39200000	2670.41000000	2669.19400000	2681.38800000	2676.18400000	2675.24360000	2673.13320000
2722006688.96321058	2697.22800000	2694.54600000	2665.60200000	2663.69600000	2689.92800000	2688.47600000	2696.40600000	2692.88800000	2676.66600000	2675.08800000	2669.10600000	2666.22200000	2708.46000000	2707.19600000	2640.66000000	2641.47400000	2683.19600000	2682.15400000	2690.97000000	2687.98600000	2681.82220000	2679.97260000
2723010033.44481611	2738.09200000	2730.86600000	2668.62200000	2664.65000000	2711.88800000	2711.34800000	2682.62400000	2683.63400000	2645.47600000	2639.53200000	2668.23600000	2670.14600000	2654.86800000	2656.21200000	2653.85400000	2647.93200000	2646.38400000	2637.29000000	2657.95400000	2657.28000000	2672.79980000	2669.88900000
2724013377.92642164	2742.81400000	2737.92800000	2655.94800000	2652.32800000	2708.50200000	2703.24600000	2689.67000000	2684.33000000	2655.76000000	2653.25200000	2673.25200000	2674.16000000	2652.45600000	2656.20200000	2648.48600000	2653.48800000	2637.68800000	2633.91800000	2657.16200000	2654.26200000	2672.17380000	2670.31140000
2725016722.40802670	2700.73800000	2699.66400000	2676.33200000	2672.31400000	2669.09400000	2667.92400000	2664.75600000	2660.25000000	2673.78200000	2675.33200000	2662.07800000	2664.64600000	2669.07200000	2664.04000000	2640.27800000	2636.32400000	2730.89400000	2728.03000000	2661.24200000	2656.17200000	2674.82660000	2672.46960000
2726020066.88963223	2691.58000000	2689.19200000	2696.63200000	2694.72200000	2676.86200000	2678.19200000	2701.05600000	2701.56200000	2664.97800000	2662.65000000	2668.18800000	2668.00800000	2666.47800000	2669.82400000	2658.09200000	2659.11000000	2663.98800000	2661.33400000	2644.40000000	2638.88800000	2673.22540000	2672.34820000
2727023411.37123728	2748.24600000	2739.60800000	2684.47400000	2680.48200000	2666.64800000	2661.67600000	2665.89800000	2668.95600000	2687.63200000	2684.78400000	2693.32800000	2690.76600000	2646.36000000	2645.49400000	2650.38600000	2648.93000000	2645.30000000	2644.01000000	2706.11200000	2707.20800000	2679.43840000	2677.19140000
2728026755.85284281	2739.90800000	2737.74200000	2670.88600000	2668.47400000	2715.51400000	2712.40800000	2687.74800000	2684.25800000	2658.84200000	2653.57000000	2664.00200000	2658.50600000	2665.84200000	2664.99000000	2664.79800000	2659.39400000	2645.39600000	2643.23400000	2645.34800000	2643.83600000	2675.82840000	2672.64120000
2729030100.33444834	2668.67800000	2666.49800000	2683.61200000	2679.49800000	2717.63600000	2717.64000000	2660.20000000	2661.45400000	2672.83200000	2674.76600000	2666.71400000	2659.74400000	2672.49200000	2669.62200000	2649.16000000	2649.38000000	2680.48400000	2675.57000000	2659.25400000	2657.60400000	2673.10620000	2671.17760000
