freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	avgPL_sig	avgPL_ref
2720000000.00000000	2640.91600000	2642.78800000	2654.64200000	2656.31800000	2601.40200000	2602.86200000	2612.73600000	2610.33400000	2614.90600000	2617.46200000	2609.81400000	2605.65000000	2615.12800000	2619.23400000	2589.42400000	2589.37800000	2616.98200000	2616.93200000	2598.94200000	2597.21800000	2615.48920000	2615.81760000
2721003344.48160553	2626.09200000	2624.18800000	2699.56200000	2700.26000000	2628.42600000	2631.78800000	2614.05000000	2614.52000000	2613.68800000	2612.99600000	2619.43800000	2621.51200000	2615.64600000	2613.88600000	2661.19600000	2654.38200000	2604.87800000	2600.32200000	2607.30000000	2609.15800000	2629.02760000	2628.30120000
2722006688.96321058	2667.35200000	2670.51800000	2628.95600000	2626.72600000	2608.59800000	2606.18600000	2606.71800000	2608.49000000	2619.80600000	2616.01400000	2610.76800000	2610.61000000	2614.27000000	2612.28400000	2600.73000000	2601.10800000	2599.70200000	2600.15800000	2595.54000000	2597.98400000	2615.24400000	2615.00780000
2723010033.44481611	2641.63800000	2634.28000000	2656.10400000	2650.38200000	2611.04600000	2606.48000000	2612.20800000	2613.48000000	2617.61000000	2618.08600000	2604.84400000	2605.05800000	2613.62600000	2611.45800000	2590.18800000	2590.13600000	2613.37600000	2615.89800000	2598.80800000	2593.64800000	2615.94480000	2613.89060000
2724013377.92642164	2629.34000000	2630.26200000	2633.80800000	2632.53800000	2671.58600000	2673.11600000	2626.11200000	2617.13600000	2639.31200000	2633.12400000	2656.52000000	2657.47600000	2617.20000000	2614.65600000	2637.71600000	2635.71800000	2572.72600000	2575.87800000	2602.69400000	2603.86200000	2628.70140000	2627.37660000
2725016722.40802670	2622.37800000	2622.02200000	2682.12600000	2674.17200000	2603.71600000	2601.95600000	2612.87600000	2613.28200000	2619.34200000	2626.49600000	2613.79400000	2609.04200000	2599.51600000	2600.90400000	2640.19800000	2634.63600000	2605.29800000	2601.53400000	2609.84200000	2609.17800000	2620.90860000	2619.32220000
2726020066.88963223	2617.01000000	2611.01200000	2647.20000000	2649.49000000	2680.33600000	2679.94000000	2606.84600000	2602.54400000	2609.73600000	2606.49800000	2660.67400000	2654.78000000	2608.20200000	2611.02400000	2634.57200000	2630.85000000	2560.99400000	2560.85400000	2575.62800000	2577.92200000	2620.11980000	2618.49140000
2727023411.37123728	2623.71600000	2623.47400000	2692.07600000	2683.82200000	2674.69800000	2672.60600000	2603.71200000	2601.42000000	2613.77400000	2615.09800000	2639.25000000	2635.33800000	2618.81200000	2617.75800000	2645.97000000	2646.36400000	2575.25200000	2573.34600000	2604.27000000	2599.53400000	2629.15300000	2626.87600000
2728026755.85284281	2616.80200000	2612.49600000	2645.74800000	2643.10200000	2680.94400000	2678.50200000	2601.86200000	2601.14400000	2610.84200000	2607.37800000	2650.71600000	2652.47400000	2604.04600000	2604.46400000	2630.44800000	2637.18200000	2557.80800000	2556.94000000	2582.06600000	2582.88600000	2618.12820000	2617.65680000
2729030100.33444834	2668.21800000	2665.63800000	2631.04600000	2627.13800000	2605.62400000	2606.02600000	2612.33800000	2611.29400000	2605.86200000	2603.88400000	2626.67600000	2625.81000000	2598.28600000	2598.95600000	2608.31200000	2603.93800000	2600.82200000	2601.40200000	2599.60600000	2596.77400000	2615.67900000	2614.08600000
