freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	PL_sig11	PL_ref11	PL_sig12	PL_ref12	PL_sig13	PL_ref13	PL_sig14	PL_ref14	PL_sig15	PL_ref15	PL_sig16	PL_ref16	PL_sig17	PL_ref17	PL_sig18	PL_ref18	PL_sig19	PL_ref19	PL_sig20	PL_ref20	PL_sig21	PL_ref21	PL_sig22	PL_ref22	PL_sig23	PL_ref23	PL_sig24	PL_ref24	PL_sig25	PL_ref25	avgPL_sig	avgPL_ref
2820000000.00000000	6180.02000000	6172.54200000	6368.91800000	6361.23000000	6508.94600000	6503.75400000	6524.48800000	6511.37800000	6579.41000000	6572.46200000	6526.40000000	6518.09000000	6542.44000000	6536.72600000	6521.11000000	6505.66200000	6479.22400000	6471.78800000	6500.62800000	6491.48000000	6494.83200000	6495.01400000	6499.88200000	6491.88800000	6478.27400000	6472.83000000	6447.93800000	6444.29800000	6440.60800000	6443.24200000	6403.12400000	6402.51200000	6430.68400000	6418.35600000	6410.18800000	6405.57000000	6362.71800000	6358.06600000	6395.84800000	6393.58600000	6383.07000000	6367.60400000	6355.93600000	6362.01200000	6348.80600000	6340.98200000	6359.74400000	6350.07000000	6323.26800000	6314.47600000	6434.66016000	6428.22472000
2820502512.56281424	6168.67200000	6168.20200000	6285.89200000	6282.75200000	6402.15800000	6399.50200000	6479.22400000	6474.76800000	6546.65600000	6541.30400000	6616.42400000	6602.82200000	6522.92200000	6512.25800000	6490.30200000	6485.43800000	6518.76600000	6514.04600000	6489.37200000	6476.64400000	6503.90800000	6496.44600000	6506.91600000	6490.41600000	6485.14000000	6474.06600000	6469.00000000	6466.79000000	6433.84400000	6426.80800000	6444.42000000	6439.81800000	6421.75600000	6404.86200000	6405.20000000	6394.93400000	6380.90000000	6371.26800000	6381.75200000	6377.08400000	6384.77600000	6381.69400000	6343.27600000	6338.91200000	6370.91000000	6358.39000000	6362.71200000	6351.80800000	6350.45000000	6333.34800000	6430.61392000	6422.57520000
2821005025.12562799	6228.03600000	6222.09200000	6266.04400000	6266.69200000	6426.21800000	6413.45400000	6483.33600000	6476.08000000	6586.20800000	6565.95600000	6586.34800000	6581.91400000	6538.18600000	6524.98800000	6491.69200000	6488.31800000	6498.75200000	6488.39200000	6481.11200000	6467.86800000	6485.88600000	6480.13000000	6472.56000000	6464.22400000	6491.20200000	6485.53800000	6460.25400000	6459.94400000	6398.50600000	6397.63200000	6389.24200000	6383.23800000	6408.43200000	6402.92200000	6405.48000000	6403.33600000	6399.31400000	6396.43200000	6376.59000000	6373.95000000	6373.74200000	6364.84600000	6331.03600000	6331.78200000	6362.68400000	6358.38000000	6355.01600000	6348.66200000	6333.28000000	6328.43400000	6425.16624000	6419.00816000
2821507537.68844223	6233.81200000	6228.98000000	6320.72000000	6318.67200000	6446.31000000	6445.08400000	6503.51000000	6481.53000000	6591.65400000	6584.05600000	6563.16400000	6550.78000000	6541.66800000	6531.90400000	6484.36800000	6481.67200000	6509.58000000	6499.43400000	6491.10400000	6475.37000000	6485.85800000	6477.61200000	6489.50200000	6478.72200000	6500.42200000	6480.07200000	6482.17800000	6474.44400000	6422.32600000	6412.46600000	6437.06400000	6425.67000000	6421.26800000	6410.68800000	6413.89000000	6401.27000000	6388.20800000	6371.86000000	6374.24000000	6363.54800000	6393.93000000	6381.62600000	6377.07400000	6366.35800000	6385.69800000	6373.71200000	6368.31000000	6359.29200000	6359.24400000	6341.71400000	6439.40408000	6428.66144000
2822010050.25125647	6180.46600000	6171.21000000	6262.52000000	6250.58000000	6388.87000000	6380.71400000	6542.71200000	6537.70600000	6580.74800000	6570.70000000	6617.62000000	6606.09200000	6517.72800000	6508.14000000	6490.02800000	6480.33400000	6534.59400000	6524.37800000	6472.44400000	6463.38200000	6500.09200000	6499.04800000	6502.03600000	6489.57200000	6502.57600000	6496.25200000	6469.21000000	6461.98400000	6437.53000000	6427.82400000	6393.04000000	6386.71200000	6397.00600000	6387.35400000	6403.17000000	6400.21800000	6405.78400000	6397.77200000	6386.51600000	6377.62400000	6406.49600000	6402.58600000	6377.27400000	6368.88400000	6368.78200000	6354.74600000	6362.51600000	6354.80800000	6372.88800000	6357.87200000	6434.90584000	6426.25968000
2822512562.81407022	6185.47200000	6179.16000000	6361.28600000	6357.21200000	6460.51000000	6442.05000000	6560.52800000	6541.92000000	6579.39800000	6570.36400000	6535.65000000	6529.52400000	6539.47800000	6524.68200000	6509.55000000	6495.67000000	6483.35800000	6473.36600000	6472.35000000	6462.81800000	6507.63400000	6498.60800000	6520.32200000	6512.86800000	6480.85200000	6462.90000000	6456.54200000	6445.02000000	6443.63800000	6439.21000000	6412.36000000	6405.30200000	6423.38200000	6423.72000000	6412.93400000	6406.18000000	6371.10600000	6373.32200000	6397.27400000	6396.74800000	6372.39000000	6364.69000000	6379.67200000	6364.99000000	6349.51000000	6343.32800000	6381.01200000	6365.57600000	6316.49400000	6309.48200000	6436.50808000	6427.54840000
2823015075.37688446	6173.70400000	6161.09800000	6355.14200000	6343.59200000	6457.42600000	6445.71000000	6548.83200000	6536.32400000	6575.98800000	6578.02800000	6541.31400000	6526.84400000	6545.83600000	6532.45000000	6516.50400000	6505.65200000	6479.56200000	6469.52800000	6466.81200000	6460.80200000	6512.83000000	6502.71600000	6513.65600000	6512.31600000	6475.24200000	6461.59200000	6450.60200000	6440.35400000	6453.02800000	6439.57400000	6416.22200000	6407.91600000	6433.20800000	6421.53200000	6404.69400000	6407.02400000	6382.48800000	6368.15400000	6403.63400000	6391.91000000	6361.57200000	6351.80000000	6372.31000000	6367.91200000	6350.03800000	6339.61200000	6370.65600000	6364.89800000	6318.72000000	6316.36200000	6435.20080000	6426.14800000
2823517587.93969870	6189.54800000	6190.12000000	6289.14600000	6277.28000000	6401.18200000	6392.45400000	6511.12200000	6504.18600000	6572.84800000	6559.33600000	6618.01200000	6611.30600000	6531.21600000	6520.72200000	6506.14400000	6495.43600000	6532.19400000	6511.41200000	6494.30800000	6484.77600000	6505.95000000	6487.13800000	6510.94400000	6496.42600000	6475.53600000	6466.82600000	6469.55200000	6458.87600000	6439.14200000	6417.85600000	6443.80600000	6439.00800000	6430.98600000	6417.20400000	6393.95200000	6383.30400000	6383.84200000	6366.09400000	6376.45400000	6366.94600000	6398.83800000	6390.55200000	6364.62800000	6348.19000000	6377.36400000	6357.99200000	6348.29600000	6341.99000000	6341.53000000	6334.95600000	6436.26160000	6424.81544000
2824020100.50251245	6209.53000000	6194.39000000	6304.53200000	6298.75800000	6452.95400000	6443.28800000	6493.85000000	6483.86200000	6609.20800000	6599.47200000	6557.64600000	6545.70400000	6545.07600000	6534.23200000	6486.47400000	6482.87600000	6503.79400000	6497.18800000	6491.94800000	6489.95600000	6488.22600000	6476.93600000	6494.86000000	6488.22600000	6484.92800000	6477.59000000	6481.97400000	6478.64800000	6423.25800000	6415.56800000	6436.32200000	6423.33200000	6410.51800000	6411.29800000	6402.47400000	6399.07600000	6375.48400000	6368.44200000	6375.03400000	6363.41200000	6386.57200000	6384.88800000	6371.37600000	6361.18000000	6389.47000000	6384.96000000	6370.31600000	6364.79600000	6342.92800000	6324.14600000	6435.55008000	6427.68896000
2824522613.06532669	6178.42800000	6167.78800000	6378.01400000	6371.89200000	6487.83000000	6475.97000000	6529.61200000	6511.36800000	6597.16400000	6574.07200000	6534.88200000	6515.81200000	6533.45600000	6524.10600000	6521.73600000	6505.06600000	6481.93200000	6472.49600000	6494.49400000	6485.11400000	6501.79600000	6489.70000000	6498.29200000	6499.63400000	6487.01400000	6472.23200000	6443.48200000	6432.14200000	6451.72800000	6444.42000000	6416.56800000	6402.75000000	6435.86200000	6429.45600000	6410.67200000	6411.54800000	6376.07800000	6366.34400000	6406.85200000	6393.73000000	6380.67400000	6373.59600000	6363.01000000	6353.89600000	6354.38400000	6341.97200000	6371.33000000	6360.89000000	6329.80000000	6324.93000000	6438.60360000	6428.03696000
