freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	PL_sig11	PL_ref11	PL_sig12	PL_ref12	PL_sig13	PL_ref13	PL_sig14	PL_ref14	PL_sig15	PL_ref15	PL_sig16	PL_ref16	PL_sig17	PL_ref17	PL_sig18	PL_ref18	PL_sig19	PL_ref19	PL_sig20	PL_ref20	PL_sig21	PL_ref21	PL_sig22	PL_ref22	PL_sig23	PL_ref23	PL_sig24	PL_ref24	PL_sig25	PL_ref25	avgPL_sig	avgPL_ref
2820000000.00000000	8096.00600000	8084.41000000	8113.12800000	8084.54800000	8129.61000000	8112.55000000	8094.40600000	8086.86800000	8089.93600000	8085.45200000	8155.28200000	8154.36600000	8182.01200000	8163.09600000	8187.69600000	8188.57200000	8181.20400000	8181.14400000	8186.01000000	8168.50000000	8198.71400000	8190.54000000	8229.62600000	8208.74800000	8180.75200000	8168.94200000	8222.73400000	8214.99400000	8173.82600000	8159.79200000	8195.82600000	8182.12600000	8210.92400000	8201.50600000	8165.09200000	8156.75000000	8243.20800000	8229.63000000	8224.18200000	8194.13600000	8201.41600000	8197.43800000	8284.96200000	8268.49600000	8265.84000000	8248.19000000	8291.21200000	8278.44000000	8295.83000000	8266.62600000	8191.97736000	8179.03440000
2820502512.56281424	8090.90200000	8075.48800000	8129.16800000	8118.72800000	8155.09200000	8151.33600000	8054.56800000	8054.37800000	8135.78400000	8128.57200000	8151.86400000	8158.45400000	8144.91200000	8130.09000000	8150.57600000	8136.05400000	8195.14600000	8174.86200000	8194.46600000	8180.67800000	8253.74000000	8221.91600000	8169.03600000	8162.30600000	8204.35800000	8188.92800000	8238.65000000	8225.22800000	8169.88000000	8149.73200000	8269.22600000	8259.95200000	8219.73800000	8211.36000000	8218.11800000	8202.25200000	8220.90000000	8212.40400000	8173.05400000	8162.10200000	8240.40200000	8237.12000000	8271.81400000	8260.38000000	8268.79400000	8254.81200000	8271.35000000	8252.02200000	8320.81800000	8294.21600000	8196.49424000	8184.13480000
2821005025.12562799	8144.15000000	8127.97600000	8121.20600000	8108.05600000	8108.91600000	8097.03200000	8110.77000000	8095.23800000	8085.74000000	8069.44400000	8191.58000000	8169.71200000	8162.33800000	8136.34400000	8206.26000000	8186.38600000	8187.38600000	8158.63000000	8154.29000000	8140.27600000	8272.84000000	8247.98400000	8241.56000000	8224.43200000	8216.35600000	8194.47400000	8211.05000000	8202.82400000	8224.95200000	8207.93800000	8227.58600000	8219.76800000	8219.32600000	8205.07600000	8170.33200000	8165.91800000	8231.92400000	8214.94400000	8214.15600000	8213.48200000	8184.16600000	8176.58600000	8280.07400000	8267.44800000	8265.73400000	8252.52200000	8291.65800000	8277.68200000	8281.93000000	8268.19400000	8200.25120000	8185.13464000
2821507537.68844223	8166.63600000	8161.58000000	8124.59600000	8124.36600000	8116.50400000	8101.42000000	8118.05200000	8104.12400000	8180.92600000	8160.98600000	8149.76200000	8134.49000000	8157.97600000	8143.05000000	8186.45200000	8185.20400000	8171.70400000	8150.36600000	8221.90800000	8210.97600000	8215.52000000	8182.76000000	8210.10000000	8202.90600000	8264.62000000	8240.36400000	8232.74800000	8220.96600000	8239.36400000	8222.99800000	8227.13200000	8214.29600000	8207.36800000	8191.87600000	8193.57000000	8176.14400000	8200.73400000	8174.44000000	8209.59800000	8198.07200000	8249.97600000	8237.50800000	8294.63000000	8273.88200000	8303.70800000	8286.37200000	8294.49600000	8284.25200000	8316.10800000	8303.19400000	8210.16752000	8195.46368000
2822010050.25125647	8172.21800000	8150.06800000	8133.78400000	8109.51600000	8108.41000000	8098.50200000	8086.40000000	8068.93800000	8151.88600000	8129.04000000	8156.90600000	8149.68000000	8128.31600000	8109.99800000	8150.71400000	8144.78000000	8187.69600000	8166.08400000	8211.70400000	8185.99800000	8234.62600000	8208.67200000	8253.94200000	8239.32000000	8208.23000000	8209.84600000	8221.05200000	8183.55000000	8205.41000000	8179.62000000	8206.21800000	8189.18600000	8201.02200000	8185.50400000	8236.60600000	8213.65000000	8220.04000000	8203.15800000	8215.28600000	8204.15600000	8243.25400000	8218.62600000	8315.39800000	8296.03200000	8258.17200000	8237.83600000	8277.59600000	8255.63600000	8295.32600000	8283.13000000	8203.20848000	8184.82104000
2822512562.81407022	8098.48400000	8082.69400000	8096.01000000	8098.51600000	8106.09000000	8092.20400000	8113.31000000	8087.50200000	8092.87200000	8075.10200000	8160.34800000	8141.63000000	8189.45000000	8167.40600000	8214.19600000	8190.57400000	8183.47800000	8163.52800000	8178.97000000	8149.28200000	8219.10200000	8197.83400000	8247.05400000	8221.55200000	8194.45200000	8164.01600000	8196.49600000	8195.12200000	8183.21200000	8157.54200000	8221.72200000	8202.06000000	8213.84800000	8192.64200000	8174.41400000	8156.09400000	8245.16000000	8237.40200000	8221.82400000	8205.74600000	8206.79200000	8181.85400000	8300.29400000	8275.90400000	8258.15800000	8252.05200000	8299.82000000	8278.29000000	8277.71000000	8269.89200000	8195.73064000	8177.45760000
2823015075.37688446	8093.71200000	8083.28600000	8157.17800000	8143.58200000	8182.83400000	8157.95800000	8106.24400000	8091.90400000	8122.23400000	8102.61200000	8191.05000000	8178.59400000	8156.26600000	8143.48000000	8156.82600000	8136.63800000	8204.97600000	8191.96600000	8161.40600000	8145.01600000	8220.77400000	8202.62600000	8192.24800000	8183.34800000	8216.87000000	8207.36000000	8260.11400000	8232.73400000	8237.63800000	8227.68200000	8257.50000000	8231.30600000	8226.55200000	8206.84800000	8198.20000000	8192.79800000	8190.54400000	8169.40200000	8221.08000000	8191.28000000	8221.11200000	8199.21600000	8226.98000000	8201.90600000	8320.51000000	8301.72200000	8302.08800000	8282.25000000	8298.60600000	8276.18000000	8204.94168000	8187.26776000
2823517587.93969870	8172.28800000	8164.36400000	8125.52000000	8109.21400000	8080.49800000	8064.46800000	8111.22000000	8090.29200000	8146.20800000	8123.49600000	8162.59400000	8138.63400000	8110.54200000	8112.55600000	8219.19600000	8208.45400000	8213.24600000	8203.14400000	8176.67400000	8173.35800000	8203.66400000	8179.23600000	8242.54200000	8226.24400000	8189.27200000	8171.79800000	8248.57200000	8237.38000000	8206.02200000	8190.65000000	8223.50000000	8216.16400000	8184.42600000	8162.59800000	8232.12600000	8214.41800000	8242.92000000	8226.15400000	8248.06600000	8215.99800000	8217.62600000	8201.97600000	8297.95400000	8278.81400000	8252.49600000	8230.57000000	8258.01600000	8246.81200000	8326.25800000	8308.64600000	8203.65784000	8187.81752000
2824020100.50251245	8164.60200000	8141.03600000	8123.55200000	8117.31000000	8115.63000000	8101.36400000	8089.47600000	8071.14400000	8127.50000000	8115.51000000	8168.44800000	8157.34800000	8138.94400000	8105.35800000	8138.79000000	8125.23600000	8212.61800000	8192.38200000	8185.45400000	8167.38000000	8231.82200000	8214.54400000	8243.11800000	8228.28400000	8207.35600000	8201.46800000	8214.52200000	8205.99200000	8190.74200000	8172.76000000	8215.44400000	8208.86400000	8193.14800000	8177.22600000	8223.84000000	8191.04600000	8200.13800000	8203.77000000	8226.90800000	8219.45000000	8251.43600000	8229.89000000	8293.71200000	8269.60000000	8279.82000000	8261.95600000	8267.94000000	8255.77600000	8302.90000000	8286.99800000	8200.31440000	8184.86768000
2824522613.06532669	8113.52000000	8091.79800000	8150.53000000	8136.09000000	8170.85600000	8155.33400000	8084.22600000	8074.37000000	8141.36400000	8125.76800000	8148.57600000	8132.35200000	8144.23200000	8122.32400000	8155.44600000	8145.10400000	8205.51600000	8180.41200000	8195.39200000	8176.18000000	8231.23200000	8221.01400000	8179.13400000	8165.33200000	8202.10400000	8195.94800000	8244.34600000	8226.50400000	8164.36600000	8144.20400000	8269.58800000	8253.42200000	8228.68400000	8212.30400000	8224.50600000	8208.07800000	8233.68000000	8212.39800000	8185.36000000	8173.46000000	8259.94600000	8241.59000000	8265.60400000	8250.16800000	8280.92400000	8265.87000000	8298.38400000	8286.11600000	8302.00000000	8285.26200000	8203.18064000	8187.25608000
