freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	PL_sig11	PL_ref11	PL_sig12	PL_ref12	PL_sig13	PL_ref13	PL_sig14	PL_ref14	PL_sig15	PL_ref15	PL_sig16	PL_ref16	PL_sig17	PL_ref17	PL_sig18	PL_ref18	PL_sig19	PL_ref19	PL_sig20	PL_ref20	PL_sig21	PL_ref21	PL_sig22	PL_ref22	PL_sig23	PL_ref23	PL_sig24	PL_ref24	PL_sig25	PL_ref25	avgPL_sig	avgPL_ref
2820000000.00000000	6041.31200000	6038.24000000	5988.82600000	5973.65800000	6016.61200000	6004.45200000	5989.61600000	5974.83800000	5968.12200000	5969.58800000	5960.16000000	5953.50600000	5963.55200000	5952.88200000	5954.71200000	5945.06800000	5989.14200000	5980.35400000	5919.89000000	5912.78800000	6020.94200000	6014.24600000	5952.16400000	5950.34000000	5917.87800000	5911.88400000	5853.94200000	5848.66800000	5896.25800000	5882.30000000	5871.96600000	5862.14800000	5867.88400000	5866.63800000	5864.40600000	5862.38800000	5851.12200000	5838.43400000	5861.71800000	5863.88000000	5879.63000000	5872.29400000	5865.54600000	5854.02800000	5849.11000000	5845.89200000	5819.33600000	5811.59000000	5830.32000000	5826.69600000	5919.76664000	5912.67200000
2820502512.56281424	5987.38600000	5971.92600000	6009.30000000	6003.38600000	6046.97000000	6039.36400000	5977.32600000	5970.72600000	5987.89400000	5982.11600000	5928.97400000	5929.07600000	6007.17200000	5994.64400000	5985.17400000	5976.29400000	5938.48000000	5934.13800000	5946.55000000	5934.07600000	5966.45800000	5966.33400000	5943.35000000	5930.46800000	5906.44400000	5901.77800000	5876.25400000	5867.48400000	5900.40200000	5896.86400000	5889.05600000	5884.54000000	5880.05800000	5871.40600000	5876.36400000	5868.40600000	5879.31000000	5873.04800000	5861.47000000	5852.82200000	5877.67600000	5865.61200000	5890.72000000	5879.41800000	5886.66400000	5879.39200000	5837.19200000	5828.40400000	5846.35800000	5841.23800000	5925.32008000	5917.71840000
2821005025.12562799	6063.61400000	6055.32400000	5998.71400000	5982.48600000	5985.08600000	5978.17200000	6021.42800000	6008.54600000	5990.51200000	5980.86600000	5964.79600000	5953.16200000	5959.94200000	5949.66200000	5984.67400000	5974.41400000	5975.41200000	5965.16800000	5940.38200000	5931.11200000	5978.73600000	5971.29400000	5956.31000000	5956.71200000	5951.55000000	5946.18000000	5894.74000000	5886.20600000	5876.68200000	5866.18600000	5912.39600000	5910.42200000	5868.63200000	5866.20600000	5876.84800000	5875.12600000	5906.38200000	5895.80600000	5860.66200000	5858.17600000	5880.45600000	5869.37200000	5845.48200000	5841.24800000	5836.24200000	5825.88200000	5853.27000000	5843.62600000	5852.64800000	5841.79000000	5929.42384000	5921.32576000
2821507537.68844223	6046.99400000	6040.83000000	5984.95400000	5982.48600000	6025.84000000	6016.14800000	6025.31400000	6013.82200000	5985.74000000	5977.90400000	5983.54600000	5979.32000000	5997.79800000	5988.43600000	5973.49600000	5960.24400000	5959.94800000	5953.65000000	5941.29000000	5938.01400000	5994.96600000	5989.71000000	5922.87000000	5918.25000000	5929.67800000	5923.50600000	5863.82800000	5856.51600000	5883.51800000	5874.00200000	5877.37600000	5872.61400000	5859.80600000	5859.50800000	5879.52000000	5875.24000000	5838.68000000	5833.40600000	5868.10200000	5855.25800000	5874.40600000	5873.60000000	5854.10400000	5852.53800000	5881.88400000	5878.33800000	5824.87000000	5810.19400000	5801.70000000	5793.93600000	5923.20912000	5916.69880000
2822010050.25125647	6026.37200000	6018.60000000	5971.75200000	5967.87200000	6011.23200000	6003.36200000	5998.51600000	5982.56000000	5996.52800000	5988.21800000	5983.71200000	5985.64000000	5958.42200000	5955.49400000	5987.25200000	5972.41200000	5978.22800000	5971.28200000	5955.11000000	5944.06200000	5964.45400000	5951.49200000	5952.93000000	5946.60800000	5963.38400000	5946.95200000	5846.53000000	5834.15800000	5892.10600000	5894.57600000	5891.65200000	5885.73600000	5890.91600000	5887.50200000	5873.90200000	5861.75800000	5876.46200000	5869.54400000	5867.23200000	5858.59200000	5857.11200000	5858.08000000	5878.35000000	5872.33200000	5853.42600000	5842.56600000	5855.71800000	5847.53600000	5853.72200000	5847.84600000	5927.40080000	5919.79120000
2822512562.81407022	6044.73600000	6037.65200000	5975.40200000	5966.25800000	5984.15200000	5968.66000000	6027.59800000	6017.37800000	5976.49200000	5966.57200000	5988.13800000	5983.43400000	5975.85400000	5967.33800000	6002.34200000	5991.11200000	5978.69200000	5977.67600000	5926.29800000	5914.59800000	5950.86600000	5940.05000000	5956.57800000	5945.93800000	5952.68600000	5944.48200000	5888.05200000	5889.47400000	5888.95600000	5882.05800000	5893.36400000	5880.89800000	5872.17400000	5871.07200000	5867.95600000	5855.51800000	5892.88800000	5887.85200000	5852.34200000	5845.47400000	5876.24800000	5872.06800000	5863.65000000	5855.53400000	5858.17600000	5847.12400000	5833.80400000	5830.50800000	5855.79600000	5850.86800000	5927.32960000	5919.58384000
2823015075.37688446	6027.80800000	6018.97600000	6016.57800000	6005.63800000	6034.28200000	6032.34800000	6021.96200000	6015.27200000	5988.10800000	5976.57600000	5974.18000000	5958.66400000	5973.97800000	5960.16400000	5949.06600000	5943.01400000	5964.25400000	5954.23600000	5948.56200000	5943.88200000	5985.22600000	5969.56400000	5948.92200000	5943.13400000	5922.36400000	5915.94400000	5870.52200000	5867.19400000	5882.13600000	5872.06800000	5869.64200000	5870.25800000	5864.21600000	5858.78000000	5890.88400000	5883.01400000	5878.28400000	5865.36600000	5868.36200000	5862.19400000	5879.41000000	5871.09000000	5856.40200000	5853.99400000	5848.11600000	5842.15400000	5840.85400000	5828.82400000	5853.14400000	5845.51600000	5926.29048000	5918.31456000
2823517587.93969870	6038.75800000	6024.75400000	5984.65600000	5978.35600000	6006.54800000	6006.36400000	5996.47000000	5985.65200000	5973.79800000	5961.98400000	5962.08400000	5952.51600000	5950.74000000	5951.15000000	5954.14000000	5950.09800000	5993.58800000	5983.74000000	5932.27000000	5927.01000000	6017.62400000	6008.66800000	5958.47400000	5944.92400000	5925.44000000	5919.04400000	5846.08400000	5830.61200000	5899.06200000	5892.62000000	5879.23600000	5875.27400000	5876.33000000	5861.31400000	5864.14600000	5860.47800000	5855.71200000	5852.23200000	5862.30200000	5860.75400000	5876.52800000	5875.12200000	5873.53800000	5862.83800000	5850.32800000	5840.61000000	5823.36600000	5810.59600000	5844.10800000	5830.62000000	5921.81320000	5913.89320000
2824020100.50251245	6059.96000000	6042.01800000	5971.12400000	5959.24000000	6001.88400000	5996.65600000	6009.37000000	6000.58200000	5970.86400000	5968.43400000	5990.88800000	5980.31400000	5965.92400000	5953.66600000	6000.35800000	5993.32400000	5980.50200000	5967.92400000	5953.59000000	5942.86800000	5895.98000000	5891.86400000	5970.54800000	5965.48400000	5958.82600000	5951.76600000	5925.52400000	5921.36400000	5872.39400000	5861.69000000	5899.31000000	5898.08200000	5894.11800000	5889.71800000	5877.20200000	5862.78800000	5900.72600000	5889.49000000	5873.58800000	5866.98000000	5884.65600000	5873.36800000	5849.33800000	5838.46000000	5850.12400000	5845.01000000	5867.24800000	5861.90400000	5878.87400000	5873.89400000	5932.11680000	5923.87552000
2824522613.06532669	5999.86800000	5994.06000000	6010.04800000	5992.93400000	6027.03400000	6018.14200000	5982.30000000	5981.18600000	6023.28200000	6014.40400000	5967.44800000	5964.82600000	5976.92600000	5974.22600000	5987.57800000	5981.66600000	5932.23000000	5916.39000000	5951.35600000	5943.52200000	6012.28400000	5995.84600000	5911.60600000	5900.97000000	5897.02400000	5887.46200000	5858.50600000	5849.58200000	5876.88400000	5865.72400000	5907.19800000	5885.41600000	5833.86800000	5824.95000000	5943.46000000	5931.88800000	5882.25800000	5883.09400000	5854.96000000	5851.44800000	5852.02200000	5847.39800000	5834.37000000	5830.05400000	5873.71800000	5869.38400000	5836.84600000	5828.48800000	5859.37800000	5855.42600000	5923.69808000	5915.53944000
