freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2820000000.00000000	6834.76600000	6854.21400000	6863.96200000	6884.93800000	6882.16600000	6899.17800000	6904.01400000	6925.59800000	6903.55800000	6915.30400000	6877.69320000	6895.84640000
2820502512.56281424	6873.86000000	6894.97200000	6934.15200000	6938.93200000	6929.17200000	6932.32200000	6894.81400000	6916.66200000	6947.82800000	6960.92400000	6915.96520000	6928.76240000
2821005025.12562799	6884.02600000	6903.19000000	6886.75600000	6896.32800000	7083.93600000	7098.11400000	6973.13400000	6982.17800000	6912.80400000	6918.64000000	6948.13120000	6959.69000000
2821507537.68844223	6919.44600000	6929.42200000	6884.54400000	6898.31800000	7058.91800000	7070.49200000	6981.14400000	6986.79200000	6919.10800000	6920.03000000	6952.63200000	6961.01080000
2822010050.25125647	6816.58600000	6820.06000000	6931.01400000	6933.31200000	6984.61400000	6989.69200000	6924.18800000	6938.41000000	6915.49200000	6929.78800000	6914.37880000	6922.25240000
2822512562.81407022	6872.44400000	6871.59200000	6864.20600000	6868.58000000	6950.23400000	6954.40600000	6917.57000000	6919.45400000	6952.67200000	6951.01000000	6911.42520000	6913.00840000
2823015075.37688446	6910.82800000	6918.07600000	6890.96400000	6889.86800000	6898.90200000	6903.56600000	6926.26400000	6928.27200000	6942.90400000	6938.46000000	6913.97240000	6915.64840000
2823517587.93969870	6817.24600000	6820.73200000	6980.33200000	6978.23000000	6972.34800000	6962.50400000	6908.53600000	6916.54400000	6969.84400000	6969.33800000	6929.66120000	6929.46960000
2824020100.50251245	6925.91600000	6928.65600000	6916.48800000	6921.29000000	6998.57000000	6994.68200000	6988.38400000	6986.69400000	6823.23800000	6828.87200000	6930.51920000	6932.03880000
2824522613.06532669	6962.13000000	6962.42400000	7007.86400000	7004.23200000	7097.55200000	7096.24400000	6938.28800000	6932.98800000	6925.13400000	6930.43600000	6986.19360000	6985.26480000
2825025125.62814093	6901.89600000	6903.30000000	6977.09600000	6979.00200000	6965.81400000	6966.78600000	6920.54000000	6914.64800000	6919.46800000	6925.89400000	6936.96280000	6937.92600000
2825527638.19095469	6915.03200000	6908.07400000	6946.75400000	6948.24000000	7059.32800000	7053.53200000	6970.59600000	6969.67600000	6922.89200000	6918.95000000	6962.92040000	6959.69440000
2826030150.75376892	6916.51000000	6915.39800000	6939.34000000	6940.32800000	6899.68600000	6895.23200000	6949.43400000	6942.60000000	6919.12400000	6920.90800000	6924.81880000	6922.89320000
2826532663.31658268	6952.12800000	6949.99000000	6906.25400000	6902.68000000	6962.24800000	6957.98200000	6939.02800000	6939.11400000	6909.89800000	6904.87600000	6933.91120000	6930.92840000
2827035175.87939692	6958.20400000	6960.13000000	7010.05200000	7010.91200000	7107.50400000	7100.90200000	6926.77000000	6929.13200000	6955.51600000	6954.63000000	6991.60920000	6991.14120000
2827537688.44221115	6991.84200000	6993.97400000	6976.25200000	6981.11600000	7001.63400000	6999.94800000	6939.80400000	6938.15800000	6995.94600000	6999.23800000	6981.09560000	6982.48680000
2828040201.00502491	6850.81600000	6852.39800000	6970.08800000	6964.36200000	6845.10600000	6846.97000000	6956.71000000	6956.09800000	6887.03000000	6887.80600000	6901.95000000	6901.52680000
2828542713.56783915	6911.64600000	6904.43800000	6864.21400000	6855.23400000	6938.22000000	6929.05800000	6977.31800000	6976.25200000	6948.59400000	6941.76600000	6927.99840000	6921.34960000
