freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	PL_sig11	PL_ref11	PL_sig12	PL_ref12	PL_sig13	PL_ref13	PL_sig14	PL_ref14	PL_sig15	PL_ref15	PL_sig16	PL_ref16	PL_sig17	PL_ref17	PL_sig18	PL_ref18	PL_sig19	PL_ref19	PL_sig20	PL_ref20	PL_sig21	PL_ref21	PL_sig22	PL_ref22	PL_sig23	PL_ref23	PL_sig24	PL_ref24	PL_sig25	PL_ref25	avgPL_sig	avgPL_ref
2820000000.00000000	5856.33800000	5842.10000000	5877.50200000	5872.73200000	5818.73200000	5816.96600000	5820.82000000	5815.92800000	5889.05000000	5879.19400000	5849.50800000	5846.02000000	5825.11200000	5818.17000000	5827.30600000	5822.95200000	5827.16200000	5823.54600000	5814.07600000	5810.28000000	5788.98200000	5782.50600000	5821.36400000	5809.87600000	5825.06200000	5822.23800000	5814.58200000	5807.17400000	5806.24600000	5797.80200000	5801.42000000	5783.08600000	5777.53800000	5767.73600000	5768.15600000	5760.18800000	5812.97400000	5807.15200000	5803.07000000	5791.69000000	5810.11200000	5804.53200000	5774.63400000	5775.74800000	5743.88400000	5732.82000000	5743.52800000	5739.19800000	5771.80600000	5765.62800000	5810.75856000	5803.81048000
2820502512.56281424	5863.45400000	5854.70600000	5812.66200000	5802.19000000	5853.25400000	5845.17600000	5867.44000000	5855.57600000	5845.38200000	5834.00800000	5863.15600000	5855.03800000	5826.83200000	5819.28600000	5830.87400000	5823.65800000	5807.28600000	5802.23400000	5802.32400000	5792.70400000	5829.14800000	5819.08200000	5767.75800000	5765.50400000	5835.13800000	5824.14200000	5787.83600000	5782.67600000	5761.34600000	5752.42600000	5781.40600000	5779.33800000	5767.79200000	5764.83800000	5797.53600000	5789.80400000	5787.42000000	5781.11600000	5786.06400000	5784.48800000	5806.29200000	5795.98400000	5754.60800000	5757.52600000	5775.03800000	5773.11000000	5737.10600000	5732.44600000	5725.27600000	5719.84000000	5802.89712000	5796.27584000
2821005025.12562799	5837.49000000	5829.19800000	5839.29200000	5824.13200000	5844.13800000	5841.59600000	5803.20200000	5793.21000000	5841.87200000	5840.82000000	5833.00600000	5827.85200000	5782.11000000	5775.52800000	5829.34200000	5824.37000000	5818.12400000	5818.77600000	5812.99000000	5809.40800000	5803.62200000	5790.58200000	5772.45000000	5766.73200000	5795.00800000	5788.95400000	5778.62600000	5775.23600000	5787.12600000	5782.63400000	5774.51000000	5771.69400000	5823.85200000	5822.35200000	5783.48200000	5780.27800000	5758.05000000	5754.92400000	5769.48400000	5771.46000000	5757.99200000	5760.07200000	5796.61400000	5780.97200000	5786.56200000	5780.65400000	5760.74200000	5746.96600000	5746.35600000	5740.77600000	5797.44168000	5791.96704000
2821507537.68844223	5854.47400000	5844.89800000	5860.44600000	5854.66200000	5785.94000000	5783.40800000	5844.36400000	5836.76600000	5834.06800000	5828.22200000	5867.28600000	5859.14800000	5816.82200000	5812.36200000	5823.89800000	5811.81600000	5828.48800000	5824.75000000	5845.59600000	5837.46000000	5821.07600000	5816.59400000	5773.22400000	5763.44600000	5808.08800000	5800.59400000	5801.50000000	5801.07000000	5767.93400000	5757.39200000	5768.25800000	5766.22400000	5761.40800000	5759.63400000	5764.29600000	5767.79800000	5775.12200000	5778.62000000	5785.11000000	5783.54600000	5793.14600000	5790.26400000	5808.69400000	5797.80000000	5759.18000000	5759.52000000	5781.48000000	5782.12200000	5702.59200000	5694.29200000	5801.29960000	5796.49632000
2822010050.25125647	5823.82000000	5815.40400000	5869.71600000	5863.05200000	5828.92400000	5817.61600000	5850.06200000	5838.01400000	5854.94600000	5849.13200000	5836.06400000	5830.86600000	5823.96400000	5812.74800000	5824.27000000	5826.05400000	5831.44200000	5828.20200000	5863.61800000	5858.04600000	5796.38000000	5792.70000000	5751.69400000	5735.08800000	5801.13200000	5798.21000000	5810.89000000	5802.81200000	5780.51400000	5777.69200000	5789.52800000	5785.70400000	5807.18000000	5796.40400000	5774.97400000	5772.93200000	5811.58800000	5801.80200000	5784.97800000	5780.26800000	5799.95200000	5789.53200000	5786.41800000	5777.79200000	5784.68200000	5774.75400000	5754.57400000	5753.26400000	5752.76000000	5756.47600000	5807.76280000	5801.38256000
2822512562.81407022	5860.11600000	5856.66400000	5848.38600000	5837.55200000	5835.66600000	5835.16600000	5866.55000000	5861.33000000	5841.59600000	5837.13400000	5858.25000000	5847.72400000	5842.74800000	5839.46000000	5822.57200000	5817.11800000	5832.33200000	5827.84600000	5830.93400000	5810.67200000	5808.14800000	5797.47000000	5772.92000000	5757.61400000	5780.09600000	5772.37600000	5813.02200000	5802.02400000	5804.33000000	5798.55200000	5760.74800000	5748.61400000	5792.34200000	5784.62000000	5759.76600000	5752.26000000	5784.36000000	5778.35800000	5827.50000000	5815.44000000	5808.94800000	5801.76400000	5780.62400000	5777.65200000	5769.36000000	5755.42200000	5770.00800000	5762.32600000	5736.37200000	5725.90800000	5808.30776000	5800.04264000
2823015075.37688446	5845.94400000	5837.60200000	5852.52200000	5842.33400000	5814.45000000	5813.96400000	5827.09200000	5823.15000000	5846.46600000	5839.20600000	5831.87200000	5827.68400000	5873.57800000	5871.07400000	5864.44800000	5861.20000000	5825.75000000	5820.56400000	5818.29400000	5809.39400000	5762.69000000	5756.53800000	5793.66000000	5777.06000000	5819.37000000	5814.87600000	5803.86800000	5797.83000000	5779.12000000	5765.13000000	5793.26600000	5787.03800000	5755.56400000	5747.50400000	5781.36000000	5769.59400000	5797.39600000	5790.23400000	5786.22200000	5776.88800000	5820.31800000	5808.72800000	5758.38600000	5752.10800000	5746.27000000	5735.57200000	5760.03400000	5754.42800000	5757.96000000	5750.43000000	5804.63600000	5797.20520000
2823517587.93969870	5846.91800000	5842.69400000	5846.87600000	5839.48200000	5842.94400000	5835.00400000	5844.86800000	5847.24000000	5873.17800000	5867.71000000	5860.20600000	5858.88800000	5832.28800000	5823.72000000	5838.53800000	5821.94400000	5827.20400000	5824.84200000	5817.42800000	5810.57400000	5771.42800000	5761.93800000	5842.09200000	5836.56400000	5815.28800000	5812.62600000	5795.44000000	5785.76400000	5747.81800000	5738.35600000	5795.22200000	5783.12600000	5763.00400000	5755.70800000	5774.08200000	5770.11400000	5790.04600000	5789.86200000	5777.91800000	5780.23800000	5774.65600000	5775.14000000	5768.36400000	5762.06600000	5737.54000000	5732.45000000	5767.94600000	5765.23000000	5753.07600000	5744.04800000	5804.17472000	5798.61312000
2824020100.50251245	5822.45000000	5814.98400000	5824.10600000	5819.57200000	5870.10000000	5861.88000000	5831.89400000	5819.88600000	5852.27400000	5845.53600000	5861.98400000	5853.97000000	5831.15000000	5820.72800000	5821.63200000	5818.90600000	5791.99400000	5781.92200000	5861.81200000	5851.76000000	5801.77000000	5794.92200000	5798.72800000	5787.18200000	5782.26400000	5777.38400000	5791.50000000	5784.03600000	5806.25200000	5796.27000000	5752.16600000	5745.02400000	5814.56200000	5803.77400000	5766.10600000	5763.62600000	5775.28400000	5769.09000000	5755.88400000	5745.11800000	5768.53800000	5763.40200000	5803.24200000	5799.22200000	5790.72200000	5789.14000000	5754.92200000	5749.28600000	5756.17800000	5752.76000000	5803.50056000	5796.37520000
2824522613.06532669	5817.44000000	5808.84600000	5841.93200000	5835.62200000	5821.84800000	5811.20000000	5836.15200000	5827.74000000	5828.01000000	5820.06800000	5903.84800000	5892.57200000	5820.11800000	5816.04600000	5847.32600000	5846.75200000	5833.97600000	5821.34000000	5828.72600000	5826.51400000	5785.02000000	5767.86600000	5796.90400000	5787.63600000	5832.22000000	5823.34400000	5801.17200000	5789.56400000	5767.15200000	5767.60400000	5775.19400000	5769.90400000	5789.66200000	5788.14400000	5777.63200000	5775.24400000	5771.06200000	5767.43200000	5767.01600000	5753.79400000	5775.63000000	5762.59000000	5786.90800000	5779.11800000	5776.06600000	5767.08400000	5757.39800000	5754.51800000	5762.31600000	5758.17200000	5804.02912000	5796.74856000
