freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	PL_sig11	PL_ref11	PL_sig12	PL_ref12	PL_sig13	PL_ref13	PL_sig14	PL_ref14	PL_sig15	PL_ref15	PL_sig16	PL_ref16	PL_sig17	PL_ref17	PL_sig18	PL_ref18	PL_sig19	PL_ref19	PL_sig20	PL_ref20	PL_sig21	PL_ref21	PL_sig22	PL_ref22	PL_sig23	PL_ref23	PL_sig24	PL_ref24	PL_sig25	PL_ref25	avgPL_sig	avgPL_ref
2820000000.00000000	7197.64200000	7185.43200000	7037.20400000	7046.25800000	6952.06000000	6954.06800000	7039.63600000	7032.71200000	7043.48200000	7027.84000000	7104.56000000	7083.84800000	7067.15200000	7056.40000000	7041.58800000	7047.20600000	6976.90800000	6981.24400000	6980.55000000	6975.73800000	6965.35600000	6967.08600000	6945.31600000	6944.46800000	6972.71000000	6965.96400000	6948.82800000	6942.95400000	6923.82000000	6927.65000000	6914.65600000	6920.66200000	6900.60800000	6906.57400000	6915.30000000	6896.24400000	6872.73400000	6863.43800000	6938.25800000	6920.97400000	6886.97800000	6878.36000000	6863.93000000	6857.81000000	6781.75400000	6793.91400000	6872.50400000	6872.00000000	6867.29400000	6881.47800000	6960.43312000	6957.21288000
2820502512.56281424	7065.08800000	7060.10800000	7069.81800000	7055.00200000	7060.14000000	7064.80400000	7043.39400000	7020.10600000	7081.93400000	7082.03400000	7107.65200000	7092.47200000	7074.50000000	7067.37600000	7057.94400000	7050.25600000	7037.77400000	7012.76000000	6964.61400000	6946.64400000	7025.26000000	7012.03200000	6977.12600000	6973.43000000	6963.13600000	6953.91400000	6981.41000000	6953.47600000	6934.63600000	6934.28000000	6884.26000000	6884.34600000	6902.26800000	6886.70000000	6931.14600000	6919.51200000	6882.28000000	6857.73600000	6891.55400000	6886.91400000	6893.45600000	6874.37600000	6805.77400000	6796.38200000	6791.64800000	6794.39400000	6892.41000000	6885.67200000	6849.74600000	6841.75400000	6966.75872000	6956.25920000
2821005025.12562799	7183.91600000	7170.00200000	7128.78000000	7111.08600000	7142.47400000	7124.47600000	7102.76400000	7104.98600000	7004.72200000	7015.01200000	7046.39200000	7026.33400000	7038.29400000	7017.58400000	7048.24400000	7029.36800000	6999.77200000	6987.24200000	7026.33000000	7006.09400000	6986.01400000	6969.98000000	6923.95400000	6906.61800000	6939.73600000	6933.54200000	6923.06200000	6917.46200000	6974.32400000	6972.19200000	6953.50800000	6940.80600000	6938.67800000	6932.30800000	6905.32600000	6887.65800000	6874.59200000	6880.90800000	6881.38800000	6866.73400000	6883.76600000	6884.33800000	6859.67400000	6861.96800000	6827.51800000	6811.66800000	6936.30200000	6910.95200000	6874.46400000	6837.48800000	6976.15976000	6964.27224000
2821507537.68844223	7215.49800000	7203.31800000	7049.87600000	7040.97200000	7119.39600000	7133.72600000	7060.02400000	7053.08800000	7030.31000000	7022.11600000	7097.96200000	7099.40200000	7042.30200000	7046.96800000	7062.49200000	7044.07000000	6980.85000000	6979.54200000	6980.34200000	6991.09200000	7056.05000000	7036.43400000	6964.78000000	6951.95400000	6974.80400000	6950.26800000	6950.22800000	6934.93400000	7000.43400000	6982.90400000	6961.73400000	6934.66800000	6979.13400000	6953.62200000	6896.99200000	6886.30600000	6891.56200000	6870.96400000	6888.36600000	6887.88000000	6897.41400000	6876.57800000	6841.19000000	6842.06800000	6824.15800000	6830.37400000	6909.91600000	6898.46800000	6852.25800000	6842.46400000	6981.12288000	6971.76720000
2822010050.25125647	7118.97400000	7114.25000000	7115.66000000	7106.07400000	7085.43400000	7072.04600000	7100.86000000	7080.33400000	7012.04000000	7008.70600000	7134.02000000	7116.48000000	7057.43600000	7024.74600000	6970.43400000	6944.89400000	7041.96400000	7053.82400000	6950.66400000	6945.88800000	6895.08800000	6882.61000000	6934.51400000	6934.20200000	6943.52400000	6928.56800000	6961.23800000	6940.17400000	6966.89400000	6959.76800000	6906.78400000	6894.92400000	6880.38000000	6849.23000000	6931.48000000	6917.31400000	6882.03200000	6893.82000000	6891.75400000	6893.63400000	6918.13200000	6909.83800000	6862.72200000	6853.18800000	6832.35400000	6823.94800000	6904.81000000	6888.88800000	6907.29000000	6893.04200000	6968.25928000	6957.21560000
2822512562.81407022	7222.45600000	7202.99600000	7136.95000000	7129.89000000	7134.41000000	7133.35600000	7078.75800000	7066.29800000	7091.79200000	7077.36000000	7073.83000000	7067.30000000	7013.17000000	6996.84600000	7004.47400000	6985.96200000	7018.81400000	6989.78400000	7017.55800000	6999.20800000	6937.74000000	6940.27000000	6951.39400000	6949.32000000	6936.69600000	6938.64800000	6929.56800000	6913.47400000	6914.55400000	6915.93400000	6967.00400000	6963.13200000	6934.42600000	6933.51600000	6864.03200000	6873.97200000	6867.58400000	6851.81400000	6864.38800000	6854.86800000	6862.37800000	6841.57000000	6841.84400000	6832.59200000	6869.39600000	6860.71800000	6844.20800000	6834.30800000	6859.19200000	6847.91200000	6969.46464000	6960.04192000
2823015075.37688446	7105.99200000	7101.11600000	7125.96000000	7120.74000000	7140.76200000	7126.51600000	7112.47400000	7099.16800000	7057.25800000	7053.00000000	7092.13600000	7089.11200000	6995.21800000	6981.27200000	7042.77000000	7014.77000000	7018.68200000	7011.28800000	6877.74000000	6891.39800000	6975.12400000	6943.82400000	6925.39000000	6910.87800000	6927.37200000	6914.60600000	6954.46600000	6924.77400000	7002.26800000	6995.33200000	6915.05400000	6917.70600000	6915.44200000	6899.06400000	6916.77400000	6880.89200000	6898.23800000	6897.34400000	6896.41600000	6875.57600000	6943.52000000	6947.40600000	6860.54200000	6868.36200000	6824.14800000	6806.89000000	6871.62400000	6859.44600000	6906.42600000	6896.32200000	6972.07184000	6961.07208000
2823517587.93969870	7109.82000000	7105.44000000	7109.10800000	7096.21000000	7048.29400000	7024.69800000	7053.67200000	7038.45600000	7087.04600000	7051.15200000	7085.57200000	7073.56400000	7047.87200000	7046.03400000	7012.72400000	7005.37000000	7004.66000000	6985.07800000	7037.89600000	7023.76200000	6965.47000000	6956.37200000	6922.50000000	6908.32800000	6992.37000000	6976.99600000	6947.71800000	6926.38600000	6926.58400000	6909.51400000	6902.86000000	6880.96800000	6898.66400000	6880.85800000	6850.68400000	6820.94000000	6912.85800000	6892.53600000	6944.55200000	6939.53800000	6879.35400000	6864.29200000	6833.18800000	6814.17200000	6842.54400000	6822.73000000	6879.18000000	6876.56200000	6854.90400000	6846.16400000	6966.00376000	6950.64480000
2824020100.50251245	7130.56000000	7122.60200000	7144.42000000	7115.44600000	7063.67800000	7050.59000000	7101.89400000	7095.60400000	7065.41000000	7045.54000000	7099.84200000	7093.25400000	7030.20600000	7023.85400000	6986.08600000	6977.60600000	7028.77000000	7016.17800000	7024.59400000	7016.22400000	6935.95800000	6919.37200000	6935.43400000	6956.39800000	6994.03800000	6987.46000000	6968.83400000	6969.04000000	6947.46800000	6917.76000000	6924.78800000	6902.06000000	6910.26000000	6898.16800000	6897.14600000	6893.22200000	6890.79200000	6877.95400000	6905.10400000	6909.31800000	6898.17600000	6874.83600000	6875.65600000	6878.13400000	6810.96400000	6798.22600000	6927.34600000	6903.24000000	6863.45200000	6865.64800000	6974.43504000	6964.30936000
2824522613.06532669	7178.49600000	7163.39600000	7150.70400000	7128.06600000	7154.17800000	7139.56400000	7122.44600000	7118.85000000	7056.09000000	7054.33400000	7041.63400000	7038.52000000	6973.44200000	6975.99600000	6991.17600000	6988.99000000	7027.80400000	7006.15200000	6973.40600000	6948.24000000	6949.28000000	6939.37600000	6961.87600000	6965.80600000	6982.16600000	6968.43200000	6914.72400000	6889.28600000	6960.31000000	6938.14000000	6939.65400000	6915.25400000	6919.06400000	6903.25000000	6910.11000000	6896.70000000	6888.27200000	6876.98800000	6933.40000000	6901.05800000	6942.83600000	6932.78000000	6857.77800000	6852.70200000	6826.36600000	6806.16600000	6888.55600000	6881.42600000	6903.28200000	6876.04000000	6977.88200000	6964.22048000
