freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	PL_sig6	PL_ref6	PL_sig7	PL_ref7	PL_sig8	PL_ref8	PL_sig9	PL_ref9	PL_sig10	PL_ref10	PL_sig11	PL_ref11	PL_sig12	PL_ref12	PL_sig13	PL_ref13	PL_sig14	PL_ref14	PL_sig15	PL_ref15	PL_sig16	PL_ref16	PL_sig17	PL_ref17	PL_sig18	PL_ref18	PL_sig19	PL_ref19	PL_sig20	PL_ref20	PL_sig21	PL_ref21	PL_sig22	PL_ref22	PL_sig23	PL_ref23	PL_sig24	PL_ref24	PL_sig25	PL_ref25	avgPL_sig	avgPL_ref
2820000000.00000000	6007.49400000	5998.98000000	5992.40000000	5999.50000000	5994.12400000	5993.33400000	6041.59600000	6035.28600000	6045.29600000	6037.25200000	6026.80200000	6028.40400000	5997.37400000	5993.07200000	6015.68000000	6007.31600000	6008.35200000	5994.68200000	5983.78000000	5965.42200000	6002.13400000	5982.40400000	5973.42200000	5968.88400000	6034.31200000	6034.05800000	6007.17400000	5992.05800000	6038.49800000	6027.31000000	5993.23200000	5999.51400000	6024.60800000	6021.50000000	5937.25000000	5930.87400000	6004.38800000	6001.94200000	5989.07600000	5991.04000000	5977.74800000	5981.11000000	6021.96800000	6015.71000000	5997.54800000	5985.91000000	6006.83600000	6005.57200000	5955.72000000	5959.58800000	6003.07248000	5998.02888000
2820502512.56281424	5998.94000000	5996.99200000	6020.24800000	6013.71200000	5983.77200000	5974.56400000	6001.43800000	6001.10200000	6028.22800000	6013.95200000	5933.90800000	5917.69000000	5972.96400000	5961.61000000	6035.84200000	6025.36600000	6035.95600000	6026.15000000	6016.40600000	6006.94000000	6006.26400000	6005.37600000	6049.31200000	6045.62000000	6003.74200000	5992.18000000	5975.92400000	5976.34200000	6051.58000000	6049.54600000	6039.61600000	6025.92800000	5939.27000000	5949.90800000	6016.48800000	6006.06400000	5999.97600000	6003.71400000	6011.18000000	6005.61200000	6019.61200000	6003.42600000	5960.03600000	5955.06200000	5977.85800000	5977.06200000	5980.37400000	5969.70800000	6016.15000000	6010.79200000	6003.00336000	5996.57672000
2821005025.12562799	6066.50800000	6053.28000000	6015.41800000	6017.22400000	5975.89600000	5960.09600000	6003.30000000	5994.82600000	5986.11800000	5982.78600000	6000.26800000	6005.03600000	6019.84000000	6000.64200000	5966.22600000	5954.88200000	6016.27200000	6002.33000000	6003.91400000	5985.44600000	5928.44200000	5933.11000000	5990.65400000	5989.54800000	6007.88600000	6005.09400000	5965.92800000	5958.96600000	6038.10000000	6031.32600000	5997.28200000	5982.90800000	6026.51600000	6014.72000000	5956.10800000	5947.58800000	5979.54000000	5966.38200000	5988.86200000	5976.84000000	5959.12800000	5957.65000000	6020.23000000	6005.45000000	5992.01200000	5991.71200000	6002.66600000	5996.51000000	5986.28200000	5977.15600000	5995.73584000	5987.66032000
2821507537.68844223	6035.83200000	6040.29200000	6026.64600000	6011.59400000	5973.63600000	5972.07600000	6021.32400000	6010.33000000	6026.17600000	6014.95600000	5988.58800000	5973.12200000	6060.02000000	6039.33000000	6002.47200000	6003.68800000	5959.61400000	5958.72400000	5996.87400000	5994.12000000	5934.97200000	5926.60600000	5970.83000000	5962.96400000	5961.40000000	5957.33600000	6028.49600000	6026.64200000	5957.45400000	5948.30800000	6045.93200000	6045.14800000	5955.62800000	5946.71800000	5967.80000000	5962.57200000	5972.19000000	5977.27200000	5952.12800000	5951.23000000	6002.11600000	6002.63600000	5995.19600000	5988.51600000	6031.66600000	6022.32000000	5937.72800000	5937.23200000	5984.49600000	5974.23400000	5991.56856000	5985.91864000
2822010050.25125647	6011.49000000	6005.28000000	6020.10000000	6026.75000000	5988.42200000	5985.96600000	5990.55000000	5991.00600000	5990.11800000	5969.38400000	6014.12600000	6004.92000000	6054.31600000	6053.00400000	5970.41800000	5964.29800000	6020.17600000	6018.07400000	6019.47600000	6010.72000000	5922.30600000	5919.13000000	6057.06600000	6048.08000000	5976.22400000	5971.49000000	6048.02200000	6047.55400000	6014.40800000	6002.06800000	6015.01200000	6007.05400000	5986.68600000	5979.30600000	5982.87000000	5973.08600000	5964.42400000	5951.09600000	6004.22600000	5995.16800000	5945.41800000	5951.06800000	6015.42400000	6011.67600000	5978.99400000	5977.41800000	5962.47200000	5952.85600000	5976.96200000	5972.78600000	5997.18824000	5991.56952000
2822512562.81407022	6006.87200000	5998.68200000	5974.15800000	5969.66200000	5962.42800000	5954.17400000	5980.73200000	5961.64400000	6013.87000000	6005.92800000	5989.31200000	5980.79800000	6069.32600000	6059.69000000	5993.39600000	5982.83000000	6000.45400000	5991.00400000	6040.11000000	6029.81000000	5924.46800000	5906.38200000	5959.47200000	5962.75000000	5988.74000000	5996.84800000	6013.70600000	6008.43600000	5969.45000000	5962.02000000	5978.13800000	5972.39400000	5995.72000000	5986.75800000	5979.47400000	5963.42400000	6002.18000000	5992.83600000	5973.70200000	5953.37800000	6014.97400000	6015.61200000	6029.41200000	6012.94600000	5985.83800000	5970.44800000	5971.22000000	5960.20600000	5985.08400000	5982.57200000	5992.08944000	5983.24928000
2823015075.37688446	6006.76000000	5991.92000000	5974.22400000	5971.35000000	5922.12200000	5916.40600000	6022.09600000	6018.23000000	5973.53400000	5968.30000000	6042.29400000	6040.09000000	5979.11400000	5972.43000000	5999.51200000	5997.05000000	6051.36400000	6040.37400000	6004.69200000	5993.75400000	5987.32400000	5984.43000000	6004.12600000	5993.36400000	6008.53200000	5997.33200000	6017.75800000	6004.86600000	6036.36600000	6027.74600000	5997.17600000	5990.78600000	6016.20200000	6007.30000000	5995.23800000	5995.38200000	5943.09600000	5931.80000000	6020.85800000	6003.65600000	5985.07800000	5985.75400000	6040.70200000	6030.82600000	5990.01600000	5973.21800000	5959.02000000	5941.31000000	5967.55000000	5964.91800000	5997.79016000	5989.70368000
2823517587.93969870	6032.34600000	6025.19200000	6043.06400000	6033.40400000	5947.47000000	5943.81200000	5996.92200000	5983.12400000	6001.73200000	5996.10200000	5997.54200000	5987.62800000	6065.47000000	6063.86800000	6005.38400000	5991.19400000	5983.85400000	5973.82400000	6013.21400000	6006.06200000	5911.47800000	5904.34600000	5976.77600000	5974.25400000	5946.68000000	5942.57600000	6027.50800000	6015.72400000	5931.46200000	5915.34000000	6039.43400000	6021.45400000	5971.19400000	5969.62200000	5968.90400000	5964.34800000	5985.73400000	5979.65200000	5938.91800000	5927.65200000	5989.95800000	5975.14600000	5988.26400000	5988.65400000	6039.39000000	6025.69000000	5942.33000000	5934.41200000	5969.88000000	5966.50600000	5988.59632000	5980.38344000
2824020100.50251245	5986.42000000	5983.40400000	5941.65600000	5933.68800000	6040.78400000	6040.93600000	6020.59800000	6005.14800000	5992.39600000	5989.96400000	6014.66400000	6000.70400000	5991.26400000	5987.00200000	5977.54800000	5970.40200000	6041.31000000	6033.65400000	6009.16600000	6001.49200000	5962.07800000	5957.52400000	6032.03400000	6023.56800000	5979.90200000	5984.99000000	6007.46600000	5996.49600000	6065.58200000	6056.08800000	6014.12000000	6005.04000000	5935.02200000	5926.79800000	6024.73000000	6022.85800000	5980.09400000	5974.12400000	5985.65000000	5969.74800000	5936.89800000	5935.67800000	5964.86200000	5969.37600000	6011.43200000	5999.64200000	6020.33600000	6021.43800000	5967.51400000	5963.56800000	5996.14104000	5990.13320000
2824522613.06532669	6032.07000000	6034.17600000	6048.10200000	6047.52200000	5968.11000000	5964.26600000	5989.56000000	5973.60600000	5996.53000000	5992.10400000	5966.27800000	5955.49400000	5990.69000000	5994.83000000	6029.13400000	6022.08800000	5976.60000000	5967.60000000	5986.97800000	5973.43800000	5934.90000000	5927.93600000	5993.02000000	5982.33200000	5977.80800000	5956.40800000	6052.09600000	6037.41600000	5963.36800000	5952.92200000	6050.84200000	6042.70000000	6012.64000000	6011.69800000	6034.31600000	6029.10200000	6015.82400000	6011.64000000	5969.26000000	5964.87800000	5952.26000000	5958.10200000	5990.61000000	5976.47400000	6008.11400000	6003.53600000	5945.70800000	5933.26800000	6011.11400000	6000.55200000	5995.83728000	5988.56352000
2825025125.62814093	6031.21200000	6027.13800000	5977.78200000	5973.92800000	5966.29400000	5957.08600000	6021.36400000	6015.52400000	6063.87600000	6059.94000000	6017.83000000	6005.41400000	5955.49600000	5945.82400000	5987.46000000	5963.29600000	5987.96800000	5979.00400000	6003.55000000	5990.13800000	5947.71600000	5941.23400000	5982.45800000	5980.66200000	5967.14000000	5958.72000000	6003.15600000	5998.60800000	6053.55600000	6046.23600000	6001.40000000	5985.17600000	6009.50800000	6003.85000000	5955.80600000	5950.70200000	5999.59600000	5986.01400000	5999.10400000	5996.75200000	6021.19000000	6010.48800000	6024.56400000	6017.97800000	6000.64400000	5996.76200000	5969.53400000	5960.21600000	5970.88200000	5968.52200000	5996.76344000	5988.76848000
2825527638.19095469	6005.46400000	5993.26800000	5972.57800000	5967.28000000	6018.05200000	6008.05800000	6024.59000000	6027.04200000	5982.45000000	5961.32200000	6028.32600000	6025.96200000	6005.46400000	6006.66000000	5977.66800000	5970.05200000	6025.17800000	6024.71600000	5998.27800000	5986.55000000	5942.44000000	5931.73000000	6024.70200000	6014.72000000	5968.33200000	5963.74800000	5991.11800000	5988.22400000	6049.88800000	6028.78400000	6013.90200000	6006.71800000	5939.48600000	5927.18600000	6027.23000000	6015.01800000	5993.75600000	5999.39000000	5977.06200000	5977.70000000	5928.89800000	5927.79200000	6002.71600000	5994.04400000	5985.73800000	5985.30000000	5997.69200000	5977.60200000	5974.17000000	5966.83800000	5994.20712000	5987.02816000
2826030150.75376892	5985.08800000	5974.92600000	5977.62000000	5972.83000000	6012.33400000	6000.20800000	6002.58400000	5990.47400000	6029.46200000	6024.56200000	5982.79000000	5981.51600000	5957.36000000	5946.13200000	5969.20800000	5955.08400000	6015.64400000	6003.46600000	5948.57400000	5944.25200000	5963.67200000	5956.17000000	5973.06000000	5958.75400000	6013.01400000	6002.85600000	5995.83400000	5990.42000000	6019.56800000	6013.46800000	5978.57400000	5976.55400000	6029.18800000	6022.24600000	5937.77800000	5945.23800000	6017.80000000	6011.02600000	6004.58400000	6001.51000000	5985.26800000	5985.10400000	6004.22800000	6001.33600000	6024.16600000	6023.07000000	6001.02200000	6000.69600000	5991.55800000	5976.08200000	5992.79912000	5986.31920000
