freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2720000000.00000000	4510.54200000	4512.87600000	4589.76600000	4586.41200000	4552.34600000	4546.62200000	4566.94000000	4567.18800000	4524.03000000	4517.52000000	4548.72480000	4546.12360000
2721003344.48160553	4537.61600000	4530.78800000	4551.75000000	4556.23000000	4544.03600000	4542.04400000	4587.05400000	4583.04600000	4545.89800000	4537.80800000	4553.27080000	4549.98320000
2722006688.96321058	4577.99200000	4573.26000000	4549.36200000	4540.57200000	4587.34400000	4576.68800000	4576.04600000	4576.49800000	4557.94000000	4552.30200000	4569.73680000	4563.86400000
2723010033.44481611	4532.45600000	4530.29400000	4536.33000000	4533.66400000	4569.94400000	4565.94400000	4575.12000000	4572.25200000	4509.86600000	4502.21800000	4544.74320000	4540.87440000
2724013377.92642164	4541.31400000	4535.94400000	4550.44400000	4548.54200000	4567.48600000	4561.28400000	4573.63200000	4566.33200000	4515.73800000	4515.86600000	4549.72280000	4545.59360000
2725016722.40802670	4549.62800000	4545.99000000	4551.42200000	4550.89000000	4571.92200000	4563.92000000	4567.05000000	4572.17200000	4540.34000000	4537.03400000	4556.07240000	4554.00120000
2726020066.88963223	4536.84400000	4528.40600000	4547.92600000	4544.13000000	4556.12400000	4547.73400000	4586.78200000	4590.02400000	4529.04600000	4528.47600000	4551.34440000	4547.75400000
2727023411.37123728	4555.48200000	4549.65800000	4562.02600000	4559.93800000	4532.84400000	4525.99000000	4588.04800000	4582.47400000	4538.88600000	4538.13000000	4555.45720000	4551.23800000
2728026755.85284281	4530.88400000	4528.96200000	4602.02200000	4594.14600000	4536.43600000	4536.02000000	4567.32800000	4566.50400000	4522.22800000	4523.70600000	4551.77960000	4549.86760000
2729030100.33444834	4534.03400000	4525.56000000	4550.52400000	4543.70800000	4580.93000000	4575.93400000	4582.90800000	4575.77400000	4545.34000000	4540.14400000	4558.74720000	4552.22400000
2730033444.81605339	4565.63800000	4559.61800000	4572.65200000	4571.51200000	4559.33800000	4552.38400000	4568.47000000	4556.42000000	4547.33600000	4539.94200000	4562.68680000	4555.97520000
2731036789.29765892	4523.05600000	4522.62200000	4603.97800000	4596.98800000	4541.92200000	4531.90800000	4565.09800000	4567.51600000	4524.05000000	4520.63800000	4551.62080000	4547.93440000
2732040133.77926445	4542.37200000	4540.56200000	4541.64600000	4532.44200000	4567.02200000	4559.68600000	4575.23200000	4569.67600000	4550.38200000	4546.00600000	4555.33080000	4549.67440000
2733043478.26086950	4562.75800000	4557.97000000	4576.64000000	4568.97800000	4526.52000000	4525.62400000	4572.17000000	4567.45400000	4521.35400000	4513.81800000	4551.88840000	4546.76880000
