freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2720000000.00000000	4510.43000000	4503.00600000	4472.34800000	4467.97800000	4465.65200000	4458.81800000	4478.15400000	4473.68800000	4470.96400000	4472.66200000	4479.50960000	4475.23040000
2721003344.48160553	4440.56400000	4434.81600000	4442.02800000	4443.88400000	4475.13200000	4472.97800000	4487.15600000	4479.34000000	4511.86400000	4502.16600000	4471.34880000	4466.63680000
2722006688.96321058	4436.00400000	4434.93600000	4454.66600000	4450.36600000	4466.62200000	4468.98600000	4485.24000000	4479.82000000	4514.48400000	4506.67200000	4471.40320000	4468.15600000
2723010033.44481611	4493.27600000	4486.66600000	4452.95200000	4444.66200000	4505.12200000	4498.11800000	4471.66000000	4472.34200000	4541.92200000	4539.66400000	4492.98640000	4488.29040000
2724013377.92642164	4439.09200000	4433.56600000	4456.91000000	4457.35000000	4470.65800000	4465.44200000	4484.09600000	4479.61000000	4525.48800000	4515.47400000	4475.24880000	4470.28840000
2725016722.40802670	4505.06400000	4503.16200000	4471.50400000	4466.95600000	4469.65400000	4461.83400000	4469.93000000	4477.40400000	4477.28000000	4468.44400000	4478.68640000	4475.56000000
2726020066.88963223	4493.40000000	4486.28200000	4484.57200000	4476.86000000	4467.61000000	4465.68400000	4472.92000000	4465.59400000	4541.20600000	4534.98600000	4491.94160000	4485.88120000
2727023411.37123728	4480.00800000	4474.57200000	4461.43800000	4457.02200000	4478.36200000	4471.78400000	4477.54800000	4470.56200000	4553.04200000	4544.82200000	4490.07960000	4483.75240000
2728026755.85284281	4461.11400000	4463.34000000	4494.71400000	4492.97600000	4462.21400000	4454.22600000	4491.66800000	4484.34200000	4527.12400000	4520.63200000	4487.36680000	4483.10320000
2729030100.33444834	4495.39800000	4488.90800000	4476.76200000	4473.46200000	4513.25200000	4513.45600000	4475.13800000	4468.82400000	4494.71400000	4483.90400000	4491.05280000	4485.71080000
2730033444.81605339	4504.76000000	4501.57800000	4473.63200000	4461.80800000	4437.67600000	4429.99000000	4505.24800000	4492.65200000	4472.81200000	4463.92800000	4478.82560000	4469.99120000
2731036789.29765892	4492.66600000	4483.76800000	4460.09400000	4457.53600000	4510.29000000	4504.24600000	4474.05400000	4467.13800000	4516.04400000	4511.30600000	4490.62960000	4484.79880000
2732040133.77926445	4439.97800000	4432.45200000	4442.06000000	4439.38000000	4492.04000000	4489.07000000	4504.63200000	4505.44800000	4515.97800000	4504.23000000	4478.93760000	4474.11600000
2733043478.26086950	4447.46000000	4441.68800000	4458.58400000	4460.86000000	4463.87000000	4459.10600000	4481.04400000	4476.38800000	4541.96000000	4529.01200000	4478.58360000	4473.41080000
2734046822.74247503	4438.19800000	4434.32600000	4445.80600000	4447.91000000	4498.43600000	4499.35200000	4512.51800000	4511.20600000	4523.89000000	4521.81000000	4483.76960000	4482.92080000
2735050167.22408009	4457.58200000	4453.41600000	4480.83800000	4473.00200000	4458.78000000	4455.70600000	4488.77000000	4477.19200000	4532.59600000	4527.24800000	4483.71320000	4477.31280000
2736053511.70568562	4513.49000000	4512.29400000	4470.38000000	4460.52400000	4484.57000000	4483.62200000	4479.29200000	4473.05600000	4494.81200000	4489.54200000	4488.50880000	4483.80760000
2737056856.18729115	4458.98000000	4456.54800000	4479.00800000	4476.55600000	4456.24400000	4458.20400000	4487.68200000	4483.98200000	4535.41000000	4537.40000000	4483.46480000	4482.53800000
2738060200.66889620	4507.56000000	4504.71600000	4486.16200000	4485.17200000	4525.57800000	4514.20600000	4464.04200000	4461.75200000	4472.63800000	4463.76200000	4491.19600000	4485.92160000
2739063545.15050173	4499.56600000	4496.65400000	4478.48200000	4470.63600000	4518.84800000	4516.35000000	4479.93000000	4478.17400000	4497.85000000	4496.22600000	4494.93520000	4491.60800000
2740066889.63210726	4518.00600000	4516.26800000	4467.19200000	4465.90400000	4449.28800000	4444.44400000	4524.88600000	4520.78000000	4495.68000000	4494.08800000	4491.01040000	4488.29680000
2741070234.11371231	4442.73000000	4436.20400000	4458.54800000	4455.19600000	4472.39000000	4466.94600000	4480.09000000	4477.00000000	4523.27000000	4517.97600000	4475.40560000	4470.66440000
2742073578.59531784	4485.71800000	4481.65800000	4454.13200000	4448.79400000	4510.47000000	4505.76600000	4472.03400000	4465.45400000	4531.30600000	4526.37200000	4490.73200000	4485.60880000
2743076923.07692289	4505.42000000	4507.53600000	4471.25400000	4467.66200000	4469.71200000	4463.69400000	4472.59600000	4473.63000000	4483.54800000	4479.16000000	4480.50600000	4478.33640000
2744080267.55852842	4536.75800000	4528.88200000	4468.45600000	4465.91400000	4444.19000000	4444.50800000	4501.94400000	4495.88800000	4506.89000000	4508.38200000	4491.64760000	4488.71480000
2745083612.04013395	4482.19600000	4479.85000000	4471.23600000	4465.13200000	4456.79800000	4451.75200000	4478.78000000	4476.77800000	4540.60800000	4538.41000000	4485.92360000	4482.38440000
2746086956.52173901	4512.99400000	4517.31600000	4463.69800000	4467.77200000	4443.47800000	4441.21000000	4526.76800000	4517.89200000	4490.35400000	4497.66200000	4487.45840000	4488.37040000
2747090301.00334454	4492.92600000	4490.51400000	4455.88200000	4452.23600000	4505.79400000	4501.32000000	4486.21600000	4476.31600000	4541.74400000	4538.59600000	4496.51240000	4491.79640000
2748093645.48495007	4437.45400000	4433.35400000	4434.33600000	4430.87200000	4482.31800000	4477.53400000	4479.33400000	4485.03000000	4519.35800000	4517.19600000	4470.56000000	4468.79720000
2749096989.96655512	4514.84800000	4512.86600000	4465.50000000	4459.03200000	4451.30600000	4449.30400000	4493.37600000	4486.37800000	4468.62600000	4469.94200000	4478.73120000	4475.50440000
2750100334.44816065	4510.38200000	4510.86000000	4470.19200000	4465.15200000	4475.96600000	4470.47200000	4471.29400000	4469.42400000	4479.06200000	4481.20400000	4481.37920000	4479.42240000
2751103678.92976570	4517.99600000	4516.49600000	4458.17400000	4452.97200000	4450.66200000	4452.75600000	4491.67000000	4487.78600000	4476.99000000	4470.14800000	4479.09840000	4476.03160000
2752107023.41137123	4512.26200000	4510.26400000	4467.77200000	4468.94000000	4440.58800000	4437.50200000	4501.04000000	4497.54600000	4470.59600000	4465.93600000	4478.45160000	4476.03760000
2753110367.89297676	4516.00600000	4516.54800000	4475.63600000	4476.36600000	4445.70800000	4448.55400000	4505.26600000	4507.67200000	4518.05200000	4516.43600000	4492.13360000	4493.11520000
2754113712.37458181	4485.09800000	4482.96000000	4467.18400000	4464.65000000	4457.82200000	4459.02000000	4464.70800000	4468.99200000	4536.41000000	4535.80800000	4482.24440000	4482.28600000
2755117056.85618734	4494.89400000	4502.89400000	4474.13200000	4479.77800000	4505.93000000	4516.00000000	4460.43800000	4455.89400000	4490.52400000	4494.68200000	4485.18360000	4489.84960000
2756120401.33779287	4502.44400000	4502.04400000	4481.57600000	4480.14000000	4517.34600000	4517.05200000	4452.05200000	4460.34400000	4471.71000000	4478.96800000	4485.02560000	4487.70960000
2757123745.81939793	4508.88200000	4508.86400000	4462.39800000	4467.68400000	4429.28800000	4432.20600000	4509.85600000	4519.19600000	4489.59600000	4501.84600000	4480.00400000	4485.95920000
2758127090.30100346	4461.13000000	4475.42000000	4440.62200000	4452.84400000	4491.45600000	4506.73800000	4461.08800000	4474.35200000	4519.11600000	4527.46400000	4474.68240000	4487.36360000
2759130434.78260851	4491.22800000	4502.88000000	4453.72400000	4464.75600000	4491.84000000	4505.81400000	4447.04000000	4457.82800000	4468.13800000	4485.37000000	4470.39400000	4483.32960000
2760133779.26421404	4472.11600000	4489.27800000	4447.64800000	4461.58800000	4502.59600000	4511.44200000	4452.14600000	4469.19400000	4486.27000000	4504.73800000	4472.15520000	4487.24800000
2761137123.74581957	4413.55600000	4439.54000000	4432.07600000	4448.37800000	4428.25200000	4455.06200000	4452.10000000	4469.20200000	4501.60800000	4524.70800000	4445.51840000	4467.37800000
2762140468.22742462	4464.44000000	4496.87200000	4431.86200000	4461.89400000	4402.19600000	4434.05600000	4465.38800000	4496.19200000	4437.05600000	4466.07600000	4440.18840000	4471.01800000
2763143812.70903015	4465.27600000	4499.97600000	4430.14000000	4461.06200000	4395.57000000	4429.83000000	4463.47000000	4494.57600000	4443.93000000	4478.56200000	4439.67720000	4472.80120000
2764147157.19063568	4473.14800000	4507.17600000	4439.83800000	4481.19000000	4399.07800000	4439.91800000	4460.11600000	4500.97200000	4473.81200000	4512.95000000	4449.19840000	4488.44120000
2765150501.67224073	4451.57200000	4494.17800000	4433.32400000	4470.26800000	4466.03600000	4506.55600000	4412.24800000	4454.70400000	4444.81000000	4492.82200000	4441.59800000	4483.70560000
2766153846.15384626	4469.21000000	4508.02400000	4433.69600000	4472.28200000	4399.98400000	4435.84200000	4459.46400000	4498.21000000	4471.55600000	4515.85800000	4446.78200000	4486.04320000
