freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2720000000.00000000	4625.51800000	4613.42200000	4606.48400000	4604.64800000	4630.90600000	4621.40800000	4647.98600000	4648.00800000	4659.28200000	4659.69600000	4634.03520000	4629.43640000
2721003344.48160553	4618.45200000	4615.23000000	4634.01600000	4628.84200000	4622.86800000	4614.28000000	4642.20000000	4639.18600000	4622.33400000	4621.74400000	4627.97400000	4623.85640000
2722006688.96321058	4592.07000000	4594.46000000	4606.26600000	4600.31400000	4612.77600000	4599.53600000	4625.59600000	4625.05000000	4644.29000000	4638.44400000	4616.19960000	4611.56080000
2723010033.44481611	4621.73000000	4616.51000000	4603.64400000	4600.20200000	4618.97000000	4620.22800000	4636.64200000	4628.43800000	4654.95000000	4653.27800000	4627.18720000	4623.73120000
2724013377.92642164	4628.37400000	4623.58800000	4601.24200000	4601.71600000	4624.83600000	4616.41000000	4637.45200000	4630.47600000	4644.35600000	4645.09800000	4627.25200000	4623.45760000
2725016722.40802670	4631.53000000	4628.77800000	4603.53600000	4601.42600000	4625.18400000	4620.66800000	4627.24200000	4614.81800000	4631.50800000	4628.80000000	4623.80000000	4618.89800000
2726020066.88963223	4637.39400000	4631.39600000	4608.27000000	4597.36200000	4584.38800000	4574.98000000	4638.53400000	4629.34000000	4625.11800000	4616.92800000	4618.74080000	4610.00120000
2727023411.37123728	4646.76400000	4641.85000000	4629.09400000	4619.63000000	4565.71600000	4561.11000000	4667.85400000	4657.77600000	4625.05200000	4613.34600000	4626.89600000	4618.74240000
2728026755.85284281	4651.28600000	4642.75800000	4616.77200000	4607.99600000	4559.96800000	4554.33200000	4650.95800000	4652.62200000	4640.46800000	4641.89200000	4623.89040000	4619.92000000
2729030100.33444834	4594.33600000	4595.54800000	4605.02400000	4597.84000000	4607.95000000	4608.34000000	4625.86200000	4618.83600000	4649.24800000	4645.21200000	4616.48400000	4613.15520000
2730033444.81605339	4634.30800000	4635.06000000	4604.20400000	4595.00200000	4641.11200000	4639.36200000	4626.87600000	4626.61200000	4617.01800000	4613.40400000	4624.70360000	4621.88800000
2731036789.29765892	4620.75200000	4616.85400000	4589.40200000	4582.87600000	4617.75400000	4613.88200000	4633.95400000	4631.68200000	4659.50200000	4652.46600000	4624.27280000	4619.55200000
2732040133.77926445	4619.24600000	4613.23800000	4611.71800000	4608.09000000	4627.25800000	4624.06200000	4647.99600000	4645.09600000	4662.53200000	4649.47400000	4633.75000000	4627.99200000
2733043478.26086950	4653.86200000	4650.02200000	4609.40200000	4607.49200000	4574.27800000	4567.31200000	4646.99600000	4646.21600000	4648.14000000	4640.98800000	4626.53560000	4622.40600000
2734046822.74247503	4606.53200000	4599.20400000	4641.50200000	4640.25200000	4639.21800000	4630.81200000	4641.65000000	4629.81400000	4640.16200000	4635.94600000	4633.81280000	4627.20560000
2735050167.22408009	4634.12200000	4632.38000000	4586.67200000	4586.33400000	4645.78600000	4635.80800000	4628.09200000	4626.50600000	4611.72000000	4615.17000000	4621.27840000	4619.23960000
2736053511.70568562	4628.27400000	4625.92600000	4593.98400000	4592.78000000	4605.47400000	4622.03800000	4648.39000000	4649.05400000	4683.39600000	4673.53000000	4631.90360000	4632.66560000
2737056856.18729115	4614.59400000	4606.61200000	4598.72000000	4593.07600000	4610.11800000	4604.50400000	4643.14800000	4643.63400000	4677.59600000	4675.95200000	4628.83520000	4624.75560000
2738060200.66889620	4626.65400000	4620.66000000	4585.33400000	4587.69600000	4628.24000000	4622.69800000	4628.13000000	4620.24200000	4640.96600000	4636.75000000	4621.86480000	4617.60920000
2739063545.15050173	4589.45200000	4592.93600000	4615.06000000	4620.12800000	4600.91600000	4602.98800000	4632.94000000	4633.97200000	4627.02000000	4635.66200000	4613.07760000	4617.13720000
2740066889.63210726	4585.48200000	4586.95800000	4622.99400000	4615.93600000	4610.52800000	4602.92400000	4638.27000000	4629.19000000	4636.17400000	4629.99800000	4618.68960000	4613.00120000
2741070234.11371231	4628.70800000	4627.52800000	4608.78800000	4603.08800000	4591.11000000	4578.38800000	4626.28400000	4625.27200000	4619.64200000	4616.12400000	4614.90640000	4610.08000000
2742073578.59531784	4663.11600000	4656.20800000	4601.94200000	4596.94800000	4631.88400000	4627.62400000	4636.06800000	4623.81400000	4629.94800000	4621.41800000	4632.59160000	4625.20240000
2743076923.07692289	4648.04800000	4643.15800000	4638.01600000	4634.33400000	4566.33000000	4565.81600000	4670.69200000	4667.86600000	4604.98800000	4600.83600000	4625.61480000	4622.40200000
2744080267.55852842	4673.01200000	4665.24400000	4633.96400000	4630.91400000	4564.82400000	4564.36000000	4643.50400000	4641.53400000	4635.02000000	4629.83200000	4630.06480000	4626.37680000
2745083612.04013395	4605.44000000	4608.94000000	4661.86600000	4657.25400000	4638.59600000	4632.73000000	4628.53200000	4627.14200000	4630.43800000	4624.48800000	4632.97440000	4630.11080000
2746086956.52173901	4647.71600000	4641.14600000	4627.37400000	4620.82200000	4561.02600000	4558.48600000	4663.31000000	4662.71200000	4621.02400000	4616.45400000	4624.09000000	4619.92400000
2747090301.00334454	4601.35600000	4591.20800000	4626.68000000	4627.95000000	4615.27800000	4612.17400000	4610.18200000	4617.22800000	4612.31800000	4614.50800000	4613.16280000	4612.61360000
2748093645.48495007	4667.70000000	4663.03800000	4601.08600000	4602.06800000	4615.97200000	4614.35800000	4634.29600000	4635.46000000	4629.88800000	4630.35400000	4629.78840000	4629.05560000
2749096989.96655512	4615.93200000	4623.70000000	4625.77200000	4621.14600000	4622.17800000	4619.63800000	4641.54400000	4632.37800000	4621.01000000	4621.51200000	4625.28720000	4623.67480000
2750100334.44816065	4615.95800000	4618.27600000	4630.72400000	4634.39800000	4597.44600000	4602.62800000	4641.28600000	4644.78600000	4626.02800000	4622.08600000	4622.28840000	4624.43480000
2751103678.92976570	4662.70800000	4666.12400000	4601.02200000	4615.65200000	4576.74400000	4579.69600000	4626.83400000	4632.66000000	4620.54400000	4626.00200000	4617.57040000	4624.02680000
2752107023.41137123	4611.61600000	4622.59400000	4573.20200000	4581.64600000	4615.25400000	4625.11000000	4612.99200000	4620.93400000	4623.12200000	4634.97800000	4607.23720000	4617.05240000
2753110367.89297676	4562.13800000	4569.84000000	4604.42200000	4618.83600000	4596.10400000	4610.50200000	4614.27000000	4629.85200000	4615.50200000	4620.70400000	4598.48720000	4609.94680000
2754113712.37458181	4650.99600000	4666.13200000	4617.01200000	4635.74800000	4545.38000000	4562.49600000	4623.43600000	4646.10400000	4609.44800000	4625.98200000	4609.25440000	4627.29240000
2755117056.85618734	4627.62800000	4649.07000000	4580.72800000	4599.99200000	4605.27200000	4634.28400000	4606.23400000	4633.37400000	4597.84400000	4624.09800000	4603.54120000	4628.16360000
2756120401.33779287	4569.13200000	4601.89400000	4616.95400000	4653.57200000	4599.61800000	4625.44600000	4593.74200000	4621.83000000	4587.02400000	4611.76800000	4593.29400000	4622.90200000
2757123745.81939793	4567.78200000	4610.72000000	4600.35400000	4642.19800000	4584.38400000	4625.04800000	4602.13800000	4639.04400000	4590.44800000	4628.92400000	4589.02120000	4629.18680000
2758127090.30100346	4636.15000000	4672.12000000	4595.21200000	4631.55000000	4521.10200000	4560.16600000	4606.28600000	4639.59800000	4588.87000000	4630.47600000	4589.52400000	4626.78200000
2759130434.78260851	4571.40600000	4603.54400000	4602.02600000	4630.78800000	4584.09400000	4621.72200000	4582.05200000	4626.78600000	4577.92400000	4610.87600000	4583.50040000	4618.74320000
2760133779.26421404	4600.30400000	4629.86800000	4559.82000000	4584.78400000	4604.99200000	4634.91400000	4597.13200000	4628.79400000	4575.94400000	4609.70800000	4587.63840000	4617.61360000
2761137123.74581957	4573.92400000	4604.16200000	4610.92200000	4629.26000000	4589.17000000	4618.03800000	4611.07400000	4645.78800000	4599.84600000	4627.09200000	4596.98720000	4624.86800000
2762140468.22742462	4590.63000000	4613.01600000	4582.54200000	4605.77200000	4599.50800000	4613.43200000	4625.98200000	4648.34200000	4635.86000000	4657.16000000	4606.90440000	4627.54440000
2763143812.70903015	4587.88000000	4602.58200000	4623.10000000	4642.78000000	4618.90600000	4631.86800000	4620.38000000	4633.72600000	4615.92600000	4630.07200000	4613.23840000	4628.20560000
2764147157.19063568	4603.94200000	4611.91600000	4587.75000000	4597.82400000	4602.35800000	4616.37400000	4616.81400000	4629.70200000	4654.05600000	4667.31400000	4612.98400000	4624.62600000
2765150501.67224073	4627.20000000	4637.44200000	4594.57000000	4599.83600000	4629.13200000	4637.39800000	4627.70800000	4633.57800000	4606.43000000	4614.90000000	4617.00800000	4624.63080000
2766153846.15384626	4578.17200000	4588.96400000	4651.61800000	4657.98400000	4616.67000000	4618.66400000	4610.67400000	4623.83200000	4607.87200000	4618.00600000	4613.00120000	4621.49000000
2767157190.63545132	4605.30200000	4618.97800000	4583.95400000	4595.09000000	4615.92200000	4622.56200000	4635.33400000	4640.92600000	4657.29600000	4666.10800000	4619.56160000	4628.73280000
2768160535.11705685	4665.34000000	4667.30800000	4592.31600000	4594.81600000	4623.45800000	4625.58200000	4621.17600000	4626.94000000	4621.78200000	4626.30200000	4624.81440000	4628.18960000
2769163879.59866238	4659.35000000	4663.55600000	4611.36000000	4617.04200000	4559.98200000	4565.04400000	4629.49200000	4637.98600000	4628.48400000	4635.25000000	4617.73360000	4623.77560000
2770167224.08026743	4588.78600000	4589.06200000	4629.77000000	4631.61000000	4601.34800000	4611.79600000	4606.16000000	4616.45200000	4608.53400000	4619.13600000	4606.91960000	4613.61120000
2771170568.56187296	4641.98000000	4648.15000000	4619.77000000	4619.84000000	4551.29000000	4561.12600000	4649.55600000	4657.46400000	4611.69200000	4617.50800000	4614.85760000	4620.81760000
2772173913.04347849	4570.04200000	4574.03600000	4616.44200000	4618.01800000	4602.69400000	4604.17600000	4620.47600000	4628.88400000	4612.06800000	4627.99200000	4604.34440000	4610.62120000
2773177257.52508354	4589.00600000	4603.19400000	4632.16600000	4641.53400000	4618.06000000	4639.69600000	4601.67000000	4625.98400000	4604.43600000	4624.11800000	4609.06760000	4626.90520000
2774180602.00668907	4591.63600000	4610.84800000	4615.19400000	4637.01200000	4602.77800000	4623.86200000	4626.25200000	4648.09000000	4602.27400000	4620.68600000	4607.62680000	4628.09960000
2775183946.48829412	4579.39800000	4601.84200000	4622.19200000	4644.78400000	4590.87600000	4609.74800000	4587.79800000	4615.73400000	4594.25000000	4615.82600000	4594.90280000	4617.58680000
2776187290.96989965	4596.93600000	4618.39400000	4564.39600000	4598.00000000	4586.06600000	4610.45600000	4618.54600000	4646.55400000	4638.61800000	4672.54000000	4600.91240000	4629.18880000
2777190635.45150518	4570.17400000	4613.29800000	4559.39600000	4591.12800000	4574.78800000	4616.64400000	4605.02000000	4638.39200000	4625.88400000	4668.68800000	4587.05240000	4625.63000000
2778193979.93311024	4550.85400000	4602.40800000	4571.38000000	4612.34800000	4558.04600000	4601.99800000	4586.92400000	4630.17800000	4578.09800000	4626.88400000	4569.06040000	4614.76320000
2779197324.41471577	4526.53000000	4577.03400000	4577.65000000	4630.36200000	4560.42000000	4609.49600000	4574.38600000	4621.84800000	4562.95400000	4616.35000000	4560.38800000	4611.01800000
2780200668.89632130	4538.51000000	4592.00000000	4556.44800000	4610.68800000	4551.37600000	4597.61800000	4567.50400000	4619.16400000	4580.29600000	4630.38000000	4558.82680000	4609.97000000
2781204013.37792635	4564.04000000	4617.89600000	4528.85400000	4582.59800000	4556.57200000	4603.59200000	4575.18000000	4637.92800000	4596.26400000	4652.12600000	4564.18200000	4618.82800000
2782207357.85953188	4563.21200000	4612.13400000	4545.70400000	4592.84600000	4557.68000000	4610.81600000	4585.82800000	4636.42800000	4620.43200000	4669.81600000	4574.57120000	4624.40800000
2783210702.34113693	4625.61000000	4668.62200000	4582.64400000	4620.54800000	4510.41200000	4557.90200000	4598.39600000	4646.37400000	4591.65200000	4636.20000000	4581.74280000	4625.92920000
2784214046.82274246	4582.65000000	4617.07800000	4555.08400000	4586.58800000	4575.56400000	4606.89200000	4599.34200000	4630.59800000	4611.31600000	4645.16600000	4584.79120000	4617.26440000
2785217391.30434799	4633.06200000	4664.66400000	4594.83400000	4616.47400000	4536.96400000	4567.87000000	4616.55000000	4643.76200000	4605.03200000	4635.03200000	4597.28840000	4625.56040000
2786220735.78595304	4594.01000000	4605.87600000	4619.12600000	4641.52800000	4624.11400000	4639.06000000	4606.46200000	4619.34200000	4598.53200000	4616.31000000	4608.44880000	4624.42320000
2787224080.26755857	4583.95200000	4594.47200000	4576.52000000	4596.40000000	4598.70400000	4608.83600000	4619.80400000	4628.81000000	4631.15800000	4642.03000000	4602.02760000	4614.10960000
2788227424.74916410	4617.95200000	4620.10600000	4580.35200000	4585.34800000	4616.91600000	4625.36200000	4613.78000000	4625.95000000	4620.00400000	4636.52200000	4609.80080000	4618.65760000
2789230769.23076916	4588.66400000	4597.54400000	4590.44200000	4591.84600000	4608.78600000	4609.28200000	4613.21200000	4626.74400000	4642.12800000	4641.83800000	4608.64640000	4613.45080000
2790234113.71237469	4602.73400000	4604.58000000	4595.94000000	4599.06800000	4601.68200000	4609.61600000	4616.98400000	4623.91600000	4653.42200000	4659.43400000	4614.15240000	4619.32280000
2791237458.19397974	4610.61200000	4621.90000000	4601.93400000	4616.93600000	4601.63400000	4607.24800000	4616.97400000	4615.78600000	4618.72200000	4620.92000000	4609.97520000	4616.55800000
2792240802.67558527	4607.03800000	4609.68400000	4582.81200000	4586.91400000	4618.18000000	4616.52200000	4657.15200000	4649.79800000	4667.23600000	4674.58000000	4626.48360000	4627.49960000
2793244147.15719080	4652.25400000	4656.12800000	4600.88600000	4600.46600000	4621.99800000	4629.93400000	4629.48400000	4627.07200000	4624.57200000	4624.73000000	4625.83880000	4627.66600000
2794247491.63879585	4643.51400000	4641.72600000	4621.79400000	4615.34400000	4550.74200000	4548.33600000	4666.22400000	4661.41400000	4624.04400000	4624.66800000	4621.26360000	4618.29760000
2795250836.12040138	4595.32800000	4597.58000000	4636.29200000	4635.22200000	4609.09400000	4607.23600000	4614.26000000	4614.75400000	4617.81800000	4612.20200000	4614.55840000	4613.39880000
2796254180.60200691	4666.26000000	4666.21600000	4608.01200000	4602.91800000	4633.88800000	4625.81000000	4630.88400000	4627.06800000	4627.28400000	4621.20000000	4633.26560000	4628.64240000
2797257525.08361197	4645.69400000	4651.88600000	4614.25000000	4613.47600000	4562.48000000	4557.03400000	4661.51400000	4661.45600000	4630.39200000	4626.84800000	4622.86600000	4622.14000000
2798260869.56521749	4647.91000000	4645.37000000	4606.48400000	4600.55600000	4636.08800000	4636.94200000	4636.40800000	4634.58600000	4621.33400000	4618.68400000	4629.64480000	4627.22760000
2799264214.04682255	4621.55000000	4615.33200000	4594.36000000	4593.38600000	4610.02600000	4613.37400000	4644.02600000	4643.94400000	4675.71400000	4674.86200000	4629.13520000	4628.17960000
2800267558.52842808	4662.97600000	4662.35600000	4641.80600000	4633.56000000	4565.89000000	4556.13600000	4666.56600000	4660.24200000	4619.96600000	4618.55000000	4631.44080000	4626.16880000
2801270903.01003361	4665.51400000	4669.23200000	4597.91000000	4595.58800000	4620.19800000	4619.56400000	4640.77600000	4634.53200000	4634.99000000	4627.99600000	4631.87760000	4629.38240000
2802274247.49163866	4616.66400000	4613.59200000	4630.59400000	4636.05600000	4622.62600000	4619.63200000	4644.96400000	4642.05000000	4626.40400000	4617.13600000	4628.25040000	4625.69320000
2803277591.97324419	4617.59600000	4612.03600000	4613.98600000	4611.23200000	4602.09400000	4598.68800000	4619.87000000	4608.26800000	4619.62200000	4623.00400000	4614.63360000	4610.64560000
2804280936.45484972	4600.18000000	4591.21800000	4620.85600000	4616.07600000	4604.82000000	4607.70800000	4633.49000000	4630.91400000	4637.03800000	4631.01000000	4619.27680000	4615.38520000
2805284280.93645477	4610.55800000	4606.48000000	4656.54200000	4647.73600000	4632.99800000	4630.14800000	4630.35200000	4622.38000000	4617.06600000	4615.78000000	4629.50320000	4624.50480000
2806287625.41806030	4613.11000000	4615.90800000	4590.57200000	4584.75200000	4614.20200000	4618.01600000	4657.43800000	4652.48400000	4677.13200000	4671.50400000	4630.49080000	4628.53280000
