freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2720000000.00000000	1893.16200000	1892.78200000	1900.36600000	1896.76400000	1901.56000000	1894.23400000	1901.57200000	1904.31400000	1899.87800000	1899.82600000	1899.30760000	1897.58400000
2721003344.48160553	1897.96800000	1899.73000000	1894.48600000	1891.88200000	1898.07400000	1897.51800000	1895.10600000	1901.41600000	1899.35400000	1899.50600000	1896.99760000	1898.01040000
2722006688.96321058	1896.87000000	1894.78000000	1902.56600000	1900.67200000	1894.99400000	1893.76400000	1905.22600000	1899.09800000	1901.60200000	1898.91000000	1900.25160000	1897.44480000
2723010033.44481611	1899.07600000	1897.94400000	1901.06000000	1900.47400000	1890.27400000	1892.72600000	1901.32600000	1896.94800000	1897.89600000	1896.99000000	1897.92640000	1897.01640000
2724013377.92642164	1894.44400000	1895.44600000	1897.90600000	1898.98800000	1900.72000000	1898.13800000	1901.04800000	1897.73000000	1901.37800000	1899.93000000	1899.09920000	1898.04640000
2725016722.40802670	1899.95400000	1892.96800000	1890.24600000	1890.94800000	1896.57000000	1900.40400000	1897.00600000	1898.27400000	1897.73400000	1895.26800000	1896.30200000	1895.57240000
2726020066.88963223	1902.44200000	1895.29600000	1893.74400000	1896.34600000	1897.24400000	1891.60000000	1894.08600000	1894.29400000	1887.49800000	1887.11000000	1895.00280000	1892.92920000
2727023411.37123728	1899.54200000	1900.99400000	1891.74400000	1892.64800000	1895.15400000	1896.69200000	1892.65400000	1892.86000000	1891.00800000	1892.84000000	1894.02040000	1895.20680000
2728026755.85284281	1904.49000000	1901.71600000	1893.40800000	1897.37600000	1896.95000000	1897.93400000	1895.34600000	1890.87800000	1898.38600000	1893.46400000	1897.71600000	1896.27360000
2729030100.33444834	1900.64400000	1899.85600000	1892.01800000	1890.97200000	1893.97000000	1894.21000000	1901.09800000	1896.12400000	1895.99400000	1893.62800000	1896.74480000	1894.95800000
2730033444.81605339	1891.97400000	1897.63200000	1887.93600000	1889.55000000	1899.94800000	1896.58000000	1900.78800000	1898.62200000	1895.79800000	1893.89600000	1895.28880000	1895.25600000
2731036789.29765892	1895.67800000	1898.07600000	1899.93600000	1899.01800000	1900.22200000	1897.31600000	1902.65200000	1900.71600000	1899.07800000	1900.69800000	1899.51320000	1899.16480000
2732040133.77926445	1895.30600000	1894.41800000	1890.48000000	1891.41200000	1892.36400000	1895.54400000	1903.04400000	1900.29000000	1887.69600000	1886.21800000	1893.77800000	1893.57640000
2733043478.26086950	1894.65400000	1899.23200000	1900.61200000	1902.88200000	1895.09200000	1895.56200000	1902.74000000	1901.72600000	1900.35400000	1898.05600000	1898.69040000	1899.49160000
2734046822.74247503	1899.53600000	1903.24000000	1896.50600000	1896.10000000	1900.19600000	1899.83600000	1895.59000000	1893.03600000	1890.87600000	1895.19200000	1896.54080000	1897.48080000
2735050167.22408009	1893.97800000	1896.34600000	1889.68000000	1888.13400000	1899.55000000	1898.92600000	1899.53200000	1896.04800000	1901.06200000	1900.74800000	1896.76040000	1896.04040000
2736053511.70568562	1896.55800000	1895.92600000	1890.95600000	1891.05400000	1886.49600000	1888.38200000	1898.62000000	1901.25200000	1890.09600000	1887.56000000	1892.54520000	1892.83480000
2737056856.18729115	1905.14600000	1906.81200000	1892.04800000	1893.05600000	1900.25000000	1899.53000000	1890.76000000	1891.68600000	1899.80000000	1895.51200000	1897.60080000	1897.31920000
2738060200.66889620	1897.20400000	1894.59000000	1898.65400000	1900.73600000	1902.73400000	1902.82200000	1903.52600000	1902.24400000	1903.99400000	1903.89600000	1901.22240000	1900.85760000
2739063545.15050173	1895.94000000	1897.77200000	1896.15200000	1898.47200000	1900.92400000	1901.43000000	1902.09600000	1901.69000000	1908.54600000	1904.25400000	1900.73160000	1900.72360000
2740066889.63210726	1894.42400000	1893.97600000	1901.96800000	1902.30000000	1894.94000000	1895.66200000	1903.91800000	1902.45000000	1898.76400000	1897.62400000	1898.80280000	1898.40240000
