freq	PL_sig1	PL_ref1	PL_sig2	PL_ref2	PL_sig3	PL_ref3	PL_sig4	PL_ref4	PL_sig5	PL_ref5	avgPL_sig	avgPL_ref
2720000000.00000000	1575.42600000	1577.13600000	1554.61800000	1556.39000000	1550.11200000	1549.13200000	1548.64000000	1546.77000000	1555.26000000	1559.24600000	1556.81120000	1557.73480000
2721003344.48160553	1570.54600000	1569.97200000	1557.72600000	1557.77800000	1551.10000000	1552.98600000	1550.61200000	1551.35400000	1553.48000000	1551.27000000	1556.69280000	1556.67200000
2722006688.96321058	1571.96200000	1571.80200000	1559.51400000	1557.38000000	1557.89600000	1559.20000000	1559.74600000	1562.35800000	1556.68600000	1553.18200000	1561.16080000	1560.78440000
2723010033.44481611	1600.02200000	1595.15200000	1560.66400000	1560.81200000	1557.10000000	1559.76400000	1559.93600000	1559.99600000	1554.74600000	1553.05400000	1566.49360000	1565.75560000
2724013377.92642164	1562.75800000	1558.84400000	1560.93000000	1559.16400000	1553.68800000	1554.66800000	1557.12600000	1554.07000000	1555.12600000	1553.40800000	1557.92560000	1556.03080000
2725016722.40802670	1566.13200000	1562.37800000	1554.58000000	1550.90000000	1556.91800000	1559.01200000	1558.56200000	1558.03400000	1553.53600000	1551.46800000	1557.94560000	1556.35840000
2726020066.88963223	1568.28400000	1567.80600000	1554.17000000	1553.65200000	1551.91600000	1552.35400000	1549.73600000	1551.33000000	1555.33400000	1552.48000000	1555.88800000	1555.52440000
2727023411.37123728	1594.81000000	1595.55000000	1559.00800000	1559.19800000	1565.04400000	1564.64400000	1562.21600000	1563.43400000	1562.72400000	1556.89800000	1568.76040000	1567.94480000
2728026755.85284281	1570.33200000	1569.57600000	1557.91400000	1555.50800000	1551.64600000	1554.42800000	1550.67000000	1552.56000000	1549.24600000	1547.27200000	1555.96160000	1555.86880000
2729030100.33444834	1572.70800000	1575.78200000	1558.32400000	1561.19600000	1553.53800000	1555.33400000	1551.01400000	1550.81200000	1556.16000000	1555.29400000	1558.34880000	1559.68360000
2730033444.81605339	1574.82000000	1575.85800000	1559.12800000	1556.71600000	1555.05400000	1555.65600000	1547.31400000	1546.41600000	1560.85000000	1559.93000000	1559.43320000	1558.91520000
2731036789.29765892	1561.42400000	1561.61000000	1560.87000000	1563.41000000	1554.43400000	1552.91200000	1552.65800000	1555.68000000	1559.65600000	1557.30200000	1557.80840000	1558.18280000
2732040133.77926445	1577.35400000	1579.10200000	1562.86600000	1561.98000000	1560.82800000	1561.94800000	1561.74800000	1562.77200000	1557.97400000	1554.90400000	1564.15400000	1564.14120000
2733043478.26086950	1560.87200000	1560.10400000	1558.85200000	1558.98600000	1558.08600000	1557.24400000	1556.54200000	1556.21200000	1557.12400000	1554.43400000	1558.29520000	1557.39600000
2734046822.74247503	1566.63400000	1569.58200000	1555.33600000	1555.74600000	1559.28200000	1562.47000000	1554.07600000	1550.76000000	1552.59200000	1550.26600000	1557.58400000	1557.76480000
2735050167.22408009	1567.22600000	1564.54800000	1555.86200000	1557.49600000	1555.31200000	1551.59400000	1556.86600000	1556.14000000	1558.18000000	1557.20200000	1558.68920000	1557.39600000
2736053511.70568562	1569.23000000	1571.44600000	1556.66200000	1554.96200000	1556.42000000	1557.42200000	1548.11400000	1550.23800000	1556.02000000	1553.99600000	1557.28920000	1557.61280000
2737056856.18729115	1596.41000000	1595.31200000	1558.91400000	1560.78800000	1564.30400000	1566.08000000	1565.52200000	1560.54400000	1558.88600000	1561.97400000	1568.80720000	1568.93960000
2738060200.66889620	1561.02200000	1560.88200000	1562.37200000	1555.87600000	1562.01600000	1558.59600000	1557.06800000	1557.50400000	1557.82800000	1554.70400000	1560.06120000	1557.51240000
2739063545.15050173	1556.53000000	1556.00800000	1558.35200000	1557.50200000	1559.84200000	1561.75200000	1556.22000000	1555.11600000	1555.26800000	1556.52800000	1557.24240000	1557.38120000
2740066889.63210726	1590.28400000	1590.54000000	1562.78000000	1560.19000000	1571.07800000	1564.26800000	1560.75600000	1562.85400000	1557.90400000	1562.10000000	1568.56040000	1567.99040000
2741070234.11371231	1571.39800000	1570.80400000	1558.62400000	1556.22400000	1558.87400000	1558.49200000	1546.12800000	1544.46400000	1553.90800000	1552.40400000	1557.78640000	1556.47760000
2742073578.59531784	1606.17400000	1606.99800000	1568.09800000	1562.99600000	1563.81800000	1563.91800000	1560.07600000	1558.58200000	1556.17200000	1555.05600000	1570.86760000	1569.51000000
2743076923.07692289	1608.75200000	1607.30800000	1564.68800000	1563.20200000	1561.33600000	1563.02400000	1564.54400000	1565.35400000	1552.34400000	1556.28200000	1570.33280000	1571.03400000
2744080267.55852842	1559.87600000	1563.67600000	1558.20200000	1557.44800000	1556.38600000	1553.98400000	1556.68000000	1553.47000000	1554.25000000	1555.57600000	1557.07880000	1556.83080000
2745083612.04013395	1569.99400000	1568.52600000	1561.96800000	1561.65600000	1560.23600000	1560.89200000	1558.95600000	1556.98200000	1557.71600000	1556.30400000	1561.77400000	1560.87200000
2746086956.52173901	1569.25600000	1572.26600000	1557.69000000	1555.57000000	1554.28000000	1552.06600000	1550.96200000	1551.72200000	1553.26000000	1550.31400000	1557.08960000	1556.38760000
2747090301.00334454	1562.80200000	1563.11200000	1559.07600000	1555.95000000	1551.98200000	1555.57200000	1560.47000000	1558.66000000	1557.78400000	1554.52800000	1558.42280000	1557.56440000
2748093645.48495007	1597.70600000	1596.15200000	1563.17600000	1561.41600000	1560.60600000	1561.13200000	1561.97000000	1562.22200000	1556.07800000	1556.64800000	1567.90720000	1567.51400000
2749096989.96655512	1570.68400000	1565.60800000	1558.35000000	1562.58600000	1558.12400000	1559.61600000	1560.99000000	1555.91800000	1553.53800000	1556.66000000	1560.33720000	1560.07760000
2750100334.44816065	1562.49600000	1562.43000000	1558.31600000	1560.20200000	1551.94400000	1552.02600000	1557.84000000	1558.04000000	1557.03600000	1556.76800000	1557.52640000	1557.89320000
